régionCNC,N° auto,nom,région administrative,adresse,code INSEE,commune,population de la commune,DEP,N°UU,unité urbaine,population unité urbaine,situation géographique,écrans,fauteuils,semaines d'activité,séances,entrées 2024,entrées 2023,évolution entrées,tranche d'entrées,propriétaire,AE,catégorie Art et Essai,label Art et Essai,genre,multiplexe,zone de la commune,nombre de films programmés,nombre de films inédits,nombre de films en semaine 1,PdM en entrées des films français,PdM en entrées des films américains,PdM en entrées des films européens,PdM en entrées des autres films,films Art et Essai,part des séances de films Art et Essai,PdM en entrées des films Art et Essai,latitude,longitude
1,31,UGC NORMANDIE,ILE-DE-FRANCE,116 AVENUE DES CHAMPS ELYSEES,75108,Paris 8e Arrondissement,36218,75,00851,Paris,10947378,01-Paris,4,1533,25,2537,82854,166625,-50.3,De 80 à 100 000 entrées,UGC,NON,NON,,FIXE,NON,C,127,39,30,18.5,42.0,27.9,11.6,58,32.6,34.4,48.872265,2.300938
1,35,BALZAC,ILE-DE-FRANCE,1 RUE BALZAC,75108,Paris 8e Arrondissement,36218,75,00851,Paris,10947378,01-Paris,3,589,50,4807,94257,101748,-7.4,De 80 à 100 000 entrées,,OUI,A,RD,FIXE,NON,C,222,94,64,57.9,16.6,15.5,10.0,188,96.7,93.2,48.872431,2.299525
1,55,ELYSEES LINCOLN,ILE-DE-FRANCE,14 RUE LINCOLN,75108,Paris 8e Arrondissement,36218,75,00851,Paris,10947378,01-Paris,3,448,50,4333,37693,40325,-6.5,De 30 à 40 000 entrées,,OUI,A,RDJP,FIXE,NON,C,186,99,73,67.5,9.7,12.8,9.9,124,91.7,85.0,48.870512,2.303157
1,204, UGC OPERA,ILE-DE-FRANCE,32 BD DES ITALIENS,75109,Paris 9e Arrondissement,60784,75,00851,Paris,10947378,01-Paris,4,722,53,6193,140291,122918,14.1,De 100 à 150 000 entrées,UGC,NON,NON,,FIXE,NON,C,113,64,61,53.5,25.3,19.1,2.2,68,47.7,43.4,48.871332,2.335302
1,301,MAX LINDER,ILE-DE-FRANCE,24 BD POISSONNIERE,75109,Paris 9e Arrondissement,60784,75,00851,Paris,10947378,01-Paris,1,591,53,1557,100666,94613,6.4,De 100 à 150 000 entrées,,OUI,A,PR,FIXE,NON,C,225,32,17,17.4,45.2,24.8,12.6,146,69.5,54.4,48.871363,2.344886
1,311,GRAND REX,ILE-DE-FRANCE,5 BD POISSONNIERE,75102,Paris 2e Arrondissement,21277,75,00851,Paris,10947378,01-Paris,7,4274,53,9693,645954,691125,-6.5,De 450 à 700 000 entrées,,NON,NON,,FIXE,NON,C,298,119,108,14.3,66.7,14.0,5.0,73,6.6,4.9,48.86872,2.347608
1,321,PATHE OPERA,ILE-DE-FRANCE,32 RUE LOUIS LEGRAND,75102,Paris 2e Arrondissement,21277,75,00851,Paris,10947378,01-Paris,6,1126,28,4489,139275,271989,-48.8,De 100 à 150 000 entrées,CINEMAS PATHE,NON,NON,,FIXE,NON,C,91,63,54,28.0,41.2,27.1,3.7,48,45.6,35.4,48.870632,2.334338
1,451,UGC MONTPARNASSE,ILE-DE-FRANCE,83 BD DU MONTPARNASSE,75106,Paris 6e Arrondissement,40452,75,00851,Paris,10947378,01-Paris,7,1490,53,11314,324787,316547,2.6,De 300 à 450 000 entrées,UGC,NON,NON,,FIXE,NON,C,181,112,102,43.2,35.8,19.5,1.5,79,28.5,28.4,48.84351,2.325646
1,481,PATHE PARNASSE,ILE-DE-FRANCE,3 RUE D'ODESSA,75114,Paris 14e Arrondissement,134926,75,00851,Paris,10947378,01-Paris,15,1559,53,29341,410796,472926,-13.1,De 300 à 450 000 entrées,CINEMAS PATHE,NON,NON,,FIXE,OUI,C,299,220,171,31.8,45.0,19.4,3.8,102,21.0,16.9,48.843074,2.324424
1,483,ENTREPOT,ILE-DE-FRANCE,7 ET 9 RUE FRANCIS DE PRESSENSE,75114,Paris 14e Arrondissement,134926,75,00851,Paris,10947378,01-Paris,3,268,53,4860,59173,54129,9.3,De 50 à 80 000 entrées,,OUI,A,RDJPPR,FIXE,NON,C,365,171,16,55.2,9.8,19.9,15.1,298,92.4,88.6,48.83393,2.31652
1,531,MK2 BEAUBOURG,ILE-DE-FRANCE,50 RUE RAMBUTEAU,75103,Paris 3e Arrondissement,33651,75,00851,Paris,10947378,01-Paris,6,557,53,12616,281328,279236,0.7,De 200 à 300 000 entrées,MK2,OUI,A,RDPR,FIXE,NON,C,295,117,95,54.5,15.6,16.3,13.7,211,96.8,94.4,48.861555,2.352217
1,612,UGC Ciné Cité MAILLOT,ILE-DE-FRANCE,PALAIS CONGRES PL PORTE MAILLOT,75117,Paris 17e Arrondissement,167765,75,00851,Paris,10947378,01-Paris,12,1142,53,22102,363659,294283,23.6,De 300 à 450 000 entrées,UGC,NON,NON,,FIXE,OUI,C,346,209,199,57.0,24.0,16.5,2.5,214,49.6,42.8,48.878512,2.282965
1,721,MK2 ODEON COTE SAINT-MICHEL,ILE-DE-FRANCE,7 RUE HAUTEFEUILLE,75106,Paris 6e Arrondissement,40452,75,00851,Paris,10947378,01-Paris,4,510,53,7260,142591,125492,13.6,De 100 à 150 000 entrées,MK2,OUI,A,RD,FIXE,NON,C,177,117,45,66.0,9.9,19.8,4.3,133,83.8,84.1,48.852188,2.342788
1,731,MK2 ODEON COTE SAINT-GERMAIN,ILE-DE-FRANCE,113 BD ST GERMAIN,75106,Paris 6e Arrondissement,40452,75,00851,Paris,10947378,01-Paris,5,678,53,9085,233647,223641,4.5,De 200 à 300 000 entrées,MK2,NON,NON,,FIXE,NON,C,121,112,108,50.5,29.3,18.0,2.2,85,64.9,61.8,48.852437,2.338266
1,733,STUDIO GALANDE,ILE-DE-FRANCE,42 RUE GALANDE,75105,Paris 5e Arrondissement,58050,75,00851,Paris,10947378,01-Paris,1,97,52,767,12197,13428,-9.2,De 10 à 20 000 entrées,,OUI,A,,FIXE,NON,C,248,97,6,29.9,8.3,56.2,5.6,179,77.2,86.4,48.851619,2.347076
1,741,LES 3 LUXEMBOURG,ILE-DE-FRANCE,67 69 RUE MONSIEUR LE PRINCE,75106,Paris 6e Arrondissement,40452,75,00851,Paris,10947378,01-Paris,3,334,53,5183,78041,72112,8.2,De 50 à 80 000 entrées,,OUI,A,RDJPPR,FIXE,NON,C,300,96,25,54.9,14.5,22.4,8.3,270,95.2,93.5,48.84824,2.340797
1,751,SAINT ANDRE DES ARTS,ILE-DE-FRANCE,30 RUE ST ANDRE DES ARTS,75106,Paris 6e Arrondissement,40452,75,00851,Paris,10947378,01-Paris,3,510,53,5343,65391,56190,16.4,De 50 à 80 000 entrées,,OUI,A,RDPR,FIXE,NON,C,429,136,68,59.7,16.6,15.4,8.3,314,84.2,72.9,48.853361,2.34211
1,801,MK2 PARNASSE,ILE-DE-FRANCE,11 RUE JULES CHAPLAIN,75106,Paris 6e Arrondissement,40452,75,00851,Paris,10947378,01-Paris,3,250,53,5240,61809,56586,9.2,De 50 à 80 000 entrées,MK2,OUI,A,RDJPPR,FIXE,NON,C,133,110,2,54.6,14.0,17.4,14.0,119,88.1,86.8,48.842813,2.330525
1,802,UGC ROTONDE,ILE-DE-FRANCE,103 BD DU MONTPARNASSE,75106,Paris 6e Arrondissement,40452,75,00851,Paris,10947378,01-Paris,3,467,53,4251,77114,73328,5.2,De 50 à 80 000 entrées,UGC,NON,NON,,FIXE,NON,C,110,64,56,67.3,4.0,26.0,2.7,87,72.3,61.6,48.842318,2.328975
1,814,LUCERNAIRE FORUM,ILE-DE-FRANCE,53 RUE NOTRE DAME DES CHAMPS,75106,Paris 6e Arrondissement,40452,75,00851,Paris,10947378,01-Paris,3,148,42,4146,36395,42230,-13.8,De 30 à 40 000 entrées,,OUI,A,RDJPPR,FIXE,NON,C,240,157,14,57.9,15.3,16.2,10.7,227,95.3,91.7,48.844244,2.330407
1,821,PARNASSIEN,ILE-DE-FRANCE,98 BD DU MONTPARNASSE,75114,Paris 14e Arrondissement,134926,75,00851,Paris,10947378,01-Paris,7,842,53,13901,313447,289903,8.1,De 300 à 450 000 entrées,,OUI,A,RDJP,FIXE,NON,C,291,140,125,62.7,11.1,15.5,10.7,247,99.3,99.0,48.842443,2.327625
1,883, CHRISTINE CINEMA CLUB,ILE-DE-FRANCE,4 RUE CHRISTINE,75106,Paris 6e Arrondissement,40452,75,00851,Paris,10947378,01-Paris,2,234,53,3157,78920,74413,6.1,De 50 à 80 000 entrées,,OUI,A,PR,FIXE,NON,C,337,13,3,9.7,58.1,20.5,11.7,286,89.0,91.2,48.854455,2.340132
