abonnement_id,adherent_id,panier_id,date_debut,nb,montant,mr_no,annee,qte,mois_depart,mois_nb,nb_initial,piece,abonnement_id_prec,reste_prec
28126,260560,7,01-01-2025,50,125,5,2025,1,1,12,50,AFA250162,28114,0
28127,4,1,01-01-2025,50,710,41,2025,1,1,12,50,AFA250226,26928,2
28128,260265,1,01-01-2025,50,710,41,2025,1,1,12,50,AFA250226,26153,0
28129,258899,2,01-01-2025,25,417.5,41,2025,1,1,12,25,AFA250172,26155,0
28130,259553,2,01-01-2025,25,417.5,5,2025,1,1,12,25,AFA250172,26156,0
28131,356,1,01-01-2025,50,710,41,2025,1,1,12,50,AFA250226,26157,0
28132,258794,1,01-01-2025,50,710,41,2025,1,1,12,50,AFA250226,26158,0
28133,21,1,01-01-2025,50,710,41,2025,1,1,12,50,AFA250226,26159,0
28135,220,1,01-01-2025,50,710,41,2025,1,1,12,50,AFA250226,26161,0
28136,121,1,01-01-2025,50,710,41,2025,1,1,12,50,AFA250226,26162,0
28137,236077,1,01-01-2025,50,710,41,2025,1,1,12,50,AFA250225,26163,0
28138,218,1,01-01-2025,50,710,18,2025,1,1,12,50,AFA250225,26164,0
28139,258821,1,01-01-2025,38,539.6,41,2025,1,1,12,50,AFA250225,26165,0
28140,258634,1,01-01-2025,50,710,41,2025,1,1,12,50,AFA250225,26166,0
28141,89,3,01-01-2025,50,1220,41,2025,1,1,12,50,AFA250234,26167,1
28142,257002,1,01-01-2025,50,710,41,2025,1,1,12,50,AFA250225,26168,0
28143,258065,1,01-01-2025,50,710,41,2025,1,1,12,50,AFA250225,26169,0
28144,608,2,01-01-2025,25,417.5,18,2025,1,1,12,25,AFA250172,26170,0
28145,258545,1,01-01-2025,50,710,18,2025,1,1,12,50,AFA250225,26171,0
28146,18277,1,01-01-2025,50,710,5,2025,1,1,12,50,AFA250225,26174,0
28147,28525,1,01-01-2025,50,710,5,2025,1,1,12,50,AFA250225,26175,0
28148,512,1,01-01-2025,50,710,41,2025,1,1,12,50,AFA250225,26176,0
28149,215,1,01-01-2025,50,710,5,2025,1,1,12,50,AFA250224,26177,0
28150,424,1,01-01-2025,50,710,41,2025,1,1,12,50,AFA250224,26178,0
28151,146,1,01-01-2025,34,482.8,41,2025,1,1,12,50,AFA250224,26179,0
28152,120713,1,01-01-2025,50,710,41,2025,1,1,12,50,AFA250224,26180,0
28153,7303,1,01-01-2025,50,710,41,2025,1,1,12,50,AFA250224,26181,0
28154,212,1,01-01-2025,50,710,41,2025,1,1,12,50,AFA250224,26182,0
28155,258474,1,01-01-2025,50,710,41,2025,1,1,12,50,AFA250224,26183,0
28156,258315,1,01-01-2025,50,710,41,2025,1,1,12,50,AFA250224,26184,0
28157,258770,1,01-01-2025,50,710,41,2025,1,1,12,50,AFA250224,26185,0
