"N°Achat","Code Veg Achat","Qtte Achat","Qtte initiale Achat","Date livraison Achat","N°Fournisseur végétal Achat","Réf Fournisseur végétal Achat","Tarif Fournisseur végétal Achat","TVA Fournisseur végétal Achat","Commandé","Livré","Unité Achat","Unité par contenant Achat","N°Contenant Achat"
1,98,10000.00,,2014-02-01,17,"038014BE",22.56,10.00,1,1,"graines enrobées",1000.00,11
2,133,125.00,,2014-02-01,97,,51.50,10.00,1,1,"kg",25.00,13
3,136,150.00,,2014-02-01,17,"618091B",66.48,10.00,1,1,"minimotte(s)",150.00,15
4,139,150.00,,2014-02-01,17,"618081B",80.50,10.00,1,1,"minimotte(s)",150.00,15
5,144,20.00,,2014-02-01,4,,41.00,10.00,1,1,"kg",20.00,13
6,145,200000.00,,2014-02-01,17,"035558BG",1371.93,10.00,1,1,"graines",1000000,14
7,146,300.00,,2014-02-01,17,"56154BG",97.29,10.00,1,1,"graines",1000.00,14
8,147,400.00,,2014-02-01,17,"056156BG",97.29,10.00,1,1,"graines",1000.00,14
9,148,150.00,,2014-02-01,17,"618037B",76.51,10.00,1,1,"minimotte(s)",150.00,15
10,150,50000.00,,2014-02-01,7,"185751",647.30,10.00,1,1,"graines",1000000,14
11,152,250.00,,2014-02-01,17,"042129BG",244.40,10.00,1,1,"graines",1000.00,14
12,154,150000.00,,2014-02-01,17,"050050BG",317.58,10.00,1,1,"graines",100000.0,14
13,155,100000.00,,2014-02-01,17,"050051BG",315.93,10.00,1,1,"graines",100000.0,14
14,156,150000.00,,2014-02-01,17,"050030BG",315.93,10.00,1,1,"graines",100000.0,14
15,157,250.00,,2014-02-01,17,"049145BG",605.36,10.00,1,1,"graines",1000.00,14
16,159,250.00,,2014-02-01,17,"049144BG",605.36,10.00,1,1,"graines",1000.00,14
17,160,200.00,,2014-02-01,40,"651168",88.15,10.00,1,1,"graines",200.00,14
18,163,100.00,,2014-02-01,17,"044004NS",298.50,10.00,1,1,"g",1000.00,14
19,164,100.00,,2014-02-01,17,"028200BG",11.00,10.00,1,1,"g",1000.00,11
20,165,300.00,,2014-02-01,17,"028566BG",172.21,10.00,1,1,"graines",1000.00,14
21,166,5.00,,2014-02-01,15,,22.62,10.00,1,1,"g",5.00,14
22,168,30.00,,2014-02-01,17,"E76700",14.52,10.00,1,1,"g",10.00,14
23,173,5000.00,,2014-02-01,17,"019001NK",99.10,10.00,1,1,"graines de précision",10000.00,14
24,175,8000.00,,2014-02-01,4,"30046500",31.82,10.00,1,1,"graines",1000.00,11
25,176,8000.00,,2014-02-01,4,"31019500",31.82,10.00,1,1,"graines",1000.00,14
26,177,300.00,,2014-02-01,17,"028098NG",180.00,10.00,1,1,"graines",1000.00,14
27,178,1500.00,,2014-02-01,7,"201463",315.00,10.00,1,1,"graines",1000.00,14
28,180,1000.00,,2014-02-01,15,,131.98,10.00,1,1,"graines",1000.00,14
29,183,3000.00,,2014-02-01,15,,101.52,10.00,1,1,"graines",1000.00,14
30,185,100000.00,,2014-02-01,17,"030100BG",727.56,10.00,1,1,"graines",1000000,14
31,188,5000.00,,2014-02-01,4,"41037200",114.65,10.00,1,1,"graines enrobées",5000.00,11
32,189,5000.00,,2014-02-01,4,"42010200",114.65,10.00,1,1,"graines enrobées",5000.00,11
33,191,100000.00,,2014-02-01,17,"011023BK",444.43,10.00,1,1,"graines",100000.0,14
34,193,10000.00,,2014-02-01,17,"019001NK",198.20,10.00,1,1,"graines",10000.00,14
35,195,200.00,,2014-02-01,17,"028200BG",109.98,10.00,1,1,"graines",1000.00,14
36,201,7500.00,,2014-02-01,36,,54.74,10.00,1,1,"graines",1000.00,14
37,205,7500.00,,2014-02-01,4,"24003501",40.24,10.00,1,1,"graines",2500.00,14
38,206,8000.00,,2014-02-01,4,"24017500",29.18,10.00,1,1,"graines",1000.00,14
39,207,50.00,,2014-02-01,17,"043021NS",2.94,10.00,1,1,"g",10.00,14
40,211,7500.00,,2014-02-01,36,"10076888",54.74,10.00,1,1,"graines",1000.00,14
41,212,5000.00,,2014-02-01,10,"0558B",3.35,10.00,1,1,"graines",1000.00,14
42,213,50.00,,2014-02-01,17,"025500BS",8.82,10.00,1,1,"g",10.00,14
43,215,300.00,,2014-02-01,17,"056370NG",313.80,10.00,1,1,"graines",1000.00,14
44,216,250.00,,2014-02-01,7,"188773",172.95,10.00,1,1,"graines",1000.00,14
45,217,10000.00,,2014-02-01,17,"039162BE",21.77,10.00,1,1,"graines enrobées",1000.00,11
46,219,300000.00,,2014-02-01,17,"030097BG",727.56,10.00,1,1,"graines",1000000,14
47,222,2.50,,2014-02-01,36,"10078310",48.00,10.00,1,1,"graines",2500.00,11
48,224,2.00,,2014-02-01,15,,26.13,10.00,1,1,"kg",1.00,14
49,225,10000.00,,2014-02-01,40,"459129",22.74,10.00,1,1,"graines enrobées",1000.00,11
50,226,250.00,,2014-02-01,17,"052005NG",93.00,10.00,1,1,"graines",1000.00,14
51,231,5000.00,,2014-02-01,40,"468690",23.74,10.00,1,1,"graines enrobées",1000.00,11
52,232,1000.00,,2014-02-01,17,"055007BS",397.06,10.00,1,1,"g",1000.00,11
53,235,100000.00,,2014-02-01,28,"687",120.00,10.00,1,1,"graines",100000.0,14
54,236,500000.00,,2014-02-01,40,"445132",710.85,10.00,1,1,"graines de précision",1000000,11
55,237,250.00,,2014-02-01,40,"456427",267.98,10.00,1,1,"g",1000.00,14
56,242,200000.00,,2014-02-01,17,"035551NG",1268.00,10.00,1,1,"graines",1000000,14
57,244,500.00,,2014-02-01,17,"056348BG",195.90,10.00,1,1,"graines",1000.00,14
58,245,500000.00,,2014-02-01,40,"417929",643.42,10.00,1,1,"graines de précision",1000000,11
59,246,100000.00,,2014-02-01,17,"005064BK",119.38,10.00,1,1,"graines",100000.0,14
60,248,1000.00,,2014-02-01,13,"Bio-35900",39.00,10.00,1,1,"g",1000.00,14
61,251,30000.00,,2014-02-01,17,"0460031NE",439.00,10.00,1,1,"graines enrobées",100000.0,14
62,252,2.00,,2014-02-01,40,"452050",26.32,10.00,1,1,"kg",1.00,14
63,253,250.00,,2014-02-01,17,"049039NG",226.60,10.00,1,1,"graines",1000.00,14
64,254,5000.00,,2014-02-01,40,"460563",23.27,10.00,1,1,"graines enrobées",1000.00,11
65,256,300.00,,2014-02-01,17,"056152BG",97.29,10.00,1,1,"graines",1000.00,11
66,261,250.00,,2014-02-01,17,"001039NG",431.80,10.00,1,1,"graines",1000.00,11
67,263,100.00,,2014-02-01,4,,27.00,10.00,1,1,"kg",20.00,13
68,266,20.00,,2014-02-01,17,"006011BS",50.38,10.00,1,1,"g",10.00,14
69,267,250.00,,2014-02-01,10,"0627",246.00,10.00,1,1,"graines",1000.00,14
70,268,50.00,,2014-02-01,17,"043003BS",673.98,10.00,1,1,"g",1000.00,14
71,270,10000.00,,2014-02-01,17,"044092NK",620.00,10.00,1,1,"graines",250000.0,14
