1,"Pallox",300.00000000,
2,"Caisse plastique verte",2.00000000,
3,"Caisse grise",2.10000000,
4,"Caisse plastique bleue",0.85000000,
5,"Caisse rouge à plants",,
6,"Panier rouge",,
7,"Panier gris",1.60000000,
9,"Caisse à motte fermée",,
10,"Fût de 120kg",120.00000000,
11,"Boîte métal graine",,
12,"Caisse verte à plants JDC",,
13,"Filet",20.00000000,
14,"Sachet graine",,
15,"Alvéole 150",,
16,"Alvéole 240",,
17,"Pack de 10",,
18,"Caisse bois à plant",,
20,"Caisse plastique orange",1.00000000,
21,"Barquette Epikouros",1.00000000,
22,"Big bag",1000.00000000,
23,"Sac",25.00000000,
24,"Caisse plastique beige labo",40.00000000,
25,"Sol",,"pour semis direct"
26,"Bac endive",,
