"N°Stock Mouvement","Date Mouvement","Nature Mouvement","Quantité Mouvement"
2,2014-07-18,1,10.00
3,2014-07-18,1,1.00
4,2014-11-25,1,55.00
5,2014-11-25,1,1.00
167,2014-12-01,1,1.00
168,2014-12-01,1,2112.00
169,2014-12-01,1,10.00
170,2014-02-01,1,10000.00
171,2014-02-01,1,125.00
172,2014-02-01,1,150.00
173,2014-04-14,1,150.00
174,2014-02-01,1,20.00
175,2014-02-01,1,200000.00
176,2014-02-01,1,300.00
177,2014-02-01,1,400.00
178,2014-02-01,1,150.00
179,2014-02-01,1,50000.00
180,2014-02-01,1,500.00
181,2014-02-01,1,150000.00
182,2014-02-01,1,100000.00
183,2014-02-01,1,150000.00
184,2014-02-01,1,250.00
185,2014-02-01,1,250.00
186,2014-02-01,1,200.00
187,2014-02-01,1,100.00
188,2014-02-01,1,100.00
189,2014-02-01,1,300.00
190,2014-02-01,1,5.00
191,2014-02-01,1,30.00
192,2014-02-01,1,5000.00
193,2014-02-01,1,8000.00
194,2014-02-01,1,8000.00
195,2014-02-01,1,300.00
196,2014-02-01,1,1500.00
197,2014-02-01,1,1000.00
198,2014-02-01,1,3000.00
199,2014-02-01,1,100000.00
200,2014-02-01,1,5000.00
201,2014-02-01,1,5000.00
202,2014-02-01,1,100000.00
203,2014-02-01,1,10000.00
204,2014-02-01,1,300.00
205,2014-02-01,1,7500.00
206,2014-02-01,1,7500.00
207,2014-02-01,1,8000.00
208,2014-02-01,1,50.00
209,2014-02-01,1,7500.00
210,2014-02-01,1,5000.00
211,2014-02-01,1,50.00
212,2014-02-01,1,300.00
213,2014-02-01,1,250.00
214,2014-02-01,1,10000.00
215,2014-02-01,1,300000.00
216,2014-02-01,1,2500.00
217,2014-02-01,1,2.00
218,2014-02-01,1,10000.00
219,2014-02-01,1,250.00
220,2014-02-01,1,5000.00
221,2014-02-01,1,1000.00
222,2014-02-01,1,100000.00
223,2014-02-01,1,500000.00
224,2014-02-01,1,250.00
225,2014-02-01,1,200000.00
226,2014-02-01,1,500.00
227,2014-02-01,1,500000.00
228,2014-02-01,1,100000.00
229,2014-02-01,1,1000.00
230,2014-02-01,1,30000.00
231,2014-02-01,1,2.00
232,2014-02-01,1,250.00
233,2014-02-01,1,5000.00
234,2014-02-01,1,300.00
235,2014-02-01,1,250.00
236,2014-02-01,1,100.00
237,2014-02-01,1,20.00
238,2014-02-01,1,250.00
239,2014-02-01,1,50.00
240,2014-02-01,1,10000.00
241,2014-02-01,1,30000.00
242,2014-02-01,1,15000.00
243,2014-02-01,1,2000.00
244,2014-02-01,1,75000.00
245,2014-02-01,1,5000.00
246,2014-02-01,1,5000.00
247,2014-02-01,1,5000.00
248,2014-02-01,1,5000.00
249,2014-02-01,1,5000.00
250,2014-02-01,1,6.00
251,2014-02-01,1,1000000.00
252,2014-02-01,1,1000.00
253,2014-02-01,1,200000.00
254,2014-02-01,1,600.00
255,2014-02-01,1,1000000.00
256,2014-02-01,1,50.00
257,2014-02-01,1,100.00
258,2014-02-01,1,300.00
259,2014-02-01,1,7.00
260,2014-02-01,1,200000.00
261,2014-02-01,1,5000.00
262,2014-02-01,1,1000.00
263,2014-02-01,1,1400.00
264,2014-02-01,1,10.00
265,2014-02-01,1,15000.00
266,2014-02-01,1,300.00
267,2014-02-01,1,18000.00
268,2014-02-01,1,5000.00
269,2014-02-01,1,60.00
270,2014-02-01,1,250000.00
271,2014-02-01,1,500.00
272,2014-02-01,1,6.00
273,2014-02-01,1,20000.00
274,2014-02-01,1,2.00
275,2014-02-01,1,7500.00
276,2014-02-01,1,300.00
277,2014-02-01,1,200.00
278,2014-02-01,1,15000.00
279,2014-02-01,1,600.00
280,2014-02-01,1,200000.00
281,2014-02-01,1,10000.00
282,2014-02-01,1,400.00
283,2014-02-01,1,300.00
284,2014-02-01,1,250.00
285,2014-02-01,1,250.00
286,2014-02-01,1,250.00
287,2014-02-01,1,300.00
288,2014-02-01,1,500.00
289,2014-02-01,1,300.00
290,2014-02-01,1,1500.00
291,2014-02-01,1,100.00
292,2014-02-01,1,300.00
293,2014-02-01,1,7500.00
294,2014-02-01,1,10000.00
295,2014-02-01,1,200000.00
296,2014-02-01,1,200000.00
297,2014-02-01,1,2700.00
298,2014-02-01,1,500.00
299,2014-02-01,1,400.00
300,2014-02-01,1,2500.00
301,2014-02-01,1,1000000.00
302,2014-02-01,1,1.00
693,2015-03-24,1,20.00
694,2015-03-24,1,12.00
695,2015-03-24,1,30.00
696,2015-03-24,1,18.00
697,2015-04-02,1,50000.00
679,2015-03-08,1,10000.00
680,2015-04-02,1,150.00
