id,vegetal,action,materiel_id,stock,plan palette,memo,main oeuvre,rendement,nb graine,vegetal,semaine début,semaine fin,action,rendement,anticipation,hebdomadaire,actif,conversion,date mise à jour
1,8,35,,,29,,,,,302,01,50,1.00,0.95,1.00,1,1,1.00,
2,291,2,,23,15,,,,,,03,03,1.00,1.00,1.00,0,1,1.00,
21,8,19,,,,,,,,291,15,36,1.00,1.00,0.00,0,1,1.00,
22,8,20,8,,,,10,,,291,15,36,1.00,0.98,0.00,0,1,1.00,
23,8,21,,,,,2,,,291,15,36,1.00,0.97,0.00,0,1,1.00,
27,291,1,,23,,,,,,,01,01,1.00,0.95,1.00,0,1,1.00,
33,15,35,,,2,,,,,15,04,15,1.00,0.95,1.00,1,1,1.00,
34,16,35,,,2,,,,,16,36,40,1.00,0.95,1.00,1,1,1.00,
35,17,35,,,2,,,,,17,01,52,1.00,0.95,1.00,1,1,1.00,
45,28,35,,,1,,,,,28,42,50,1.00,0.95,1.00,1,1,1.00,
48,33,35,,,3,,,,,437,25,36,2.00,0.95,1.00,1,1,1.00,
49,34,35,,,1,,1,,,348,41,52,1.00,0.95,1.00,1,1,1.00,
51,36,35,,,1,,,,,367,01,52,1.00,0.95,1.00,1,1,1.00,
52,38,35,,,4,,,,,327,01,52,1.00,0.95,1.00,1,1,1.00,
55,41,35,,,1,,,,,374,25,52,2.00,0.98,1.00,1,1,1.00,
56,46,35,,,1,,,,,46,01,52,1.00,0.95,1.00,1,1,1.00,
57,47,35,,,29,,,,,390,25,36,1.00,0.95,1.00,1,1,1.00,16/6/2022 16:49:30
60,50,35,,,1,,,1.00,,361,14,19,2.00,0.95,1.00,1,1,1.00,
62,52,35,,,1,,,,,333,01,52,2.00,0.95,1.00,1,1,1.00,
64,55,35,,,1,,1,,,237,16,19,1.00,0.95,1.00,1,1,1.00,
67,58,35,,,2,,5,,,271,40,40,1.00,0.95,1.00,1,1,1.00,22/6/2021 16:57:17
70,61,35,,,1,,,,,299,01,52,1.00,0.98,1.00,1,1,1.00,
73,65,35,,,2,,,,,156,40,52,1.00,0.95,1.00,1,1,1.00,20/11/2020 12:11:49
76,68,35,,,29,,,,,408,28,42,2.00,0.98,1.00,1,1,1.00,
