source,produit,densite
3,460,
11,34,
29,418,
30,14,30
45,192,5
49,457,1
57,59,
57,454,3
66,1245,26
75,776,
95,260,4
95,465,
97,34,
98,4,
98,100,1
99,4,10
100,4,10
102,285,10
103,845,
104,846,10
105,845,10
106,845,10
107,19,6.25
108,21,2.5
109,20,10
110,22,5
111,23,4
112,26,10
113,1067,10
114,27,
115,49,
115,457,1
116,82,15
117,40,30
118,41,10
119,387,10
120,387,10
121,42,10
122,42,10
123,1078,10
127,48,100
128,51,48
129,56,14
130,61,24
131,470,21
132,63,
133,473,
134,51,
134,128,3
135,1068,
135,1070,1
136,210,
136,395,
139,442,
140,969,2
141,1069,
141,1071,1
143,900,
143,1177,1
144,59,
145,51,
145,128,4
146,709,
146,729,200
147,709,
147,728,250
148,391,
148,459,
149,727,100
149,969,
150,53,
150,103,1
151,94,
152,403,100
153,435,10
153,463,
155,65,315
155,444,1
156,65,315
156,444,
157,68,
157,726,150
158,68,
158,547,150
159,68,
159,223,150
160,33,1
160,437,1
161,192,
163,56,
163,129,3
164,959,42
165,34,
165,348,1
166,2,
166,410,1
167,873,100
167,969,
168,404,1750
170,5,
170,295,
170,874,3
171,2,
171,410,150
172,295,
172,447,3
173,6,
173,433,1
174,192,5
175,22,
175,110,1
176,25,
176,446,1
177,10,162
178,86,
178,740,150
179,67,1
180,35,
180,438,1
181,398,150
182,727,250
182,969,
183,35,
183,438,1
184,295,
184,447,3
185,123,1
185,936,
186,66,1
186,1245,
188,53,
188,103,1
189,53,
189,90,
189,105,1
190,53,
190,106,1
190,845,
191,39,1
193,20,
193,109,1
194,53,
194,104,1
195,97,1
196,23,
196,111,1
197,26,
197,112,1
198,22,
198,110,1
201,23,
201,111,1
202,82,
202,116,1
204,47,
204,436,5
205,113,1
205,1067,
206,26,
206,112,1
207,17,42
208,2,
208,410,150
209,279,4
209,466,
210,395,
211,23,
211,111,1
212,18,
212,364,1
213,32,
213,448,10
214,384,19.5
214,458,3
215,87,
215,407,250
216,86,
216,321,250
217,48,
217,127,3
218,142,
218,443,3
219,397,1
220,35,
220,438,1
221,959,42
222,21,4
222,108,1
223,68,2
224,192,5
225,99,1
226,736,1
226,898,
227,51,
227,128,4
228,59,
228,454,3
229,59,
229,454,3
231,59,
231,454,3
232,83,
233,384,19.5
233,458,3
235,39,
236,79,320
237,55,
237,453,3
238,403,150
239,39,
242,51,
242,128,3
243,42,
243,122,1
244,709,
244,727,250
245,79,328
246,9,162
247,14,30
247,30,4
248,40,
249,131,4
249,470,
