"N°Zone de stockage","Libellé stockage","Condition stockage","Catégorie stockage","Zone géographique","Zone géographique détail","Surface stockage","Actif stockage"
1,"Non affecté",,,"Bâtiment principal",,,0
2,"Frigo","Chambre froide","Vente","Magasin",,,1
3,"Reefer","T°C extérieure","Divers","Bâtiment extérieur",,,0
4,"O",,"Production agricole","Serre","Tunnel",0.02500000,1
5,"N",,"Production agricole","Serre","Tunnel",0.02500000,1
6,"M",,"Production agricole","Serre","Tunnel",0.02500000,1
7,"L",,"Production agricole","Serre","Tunnel",0.02500000,1
8,"K",,"Production agricole","Serre","Tunnel",0.02500000,1
9,"J",,"Production agricole","Serre","Tunnel",0.02500000,1
10,"I",,"Production agricole","Serre","Tunnel",0.02500000,1
11,"H",,"Production agricole","Serre","Tunnel",0.02500000,1
12,"G",,"Production agricole","Serre","Tunnel",0.02500000,1
13,"F",,"Production agricole","Serre","Tunnel",0.02500000,1
14,"E",,"Production agricole","Serre","Tunnel",0.02500000,1
15,"A",,"Production agricole","Serre","Tunnel",0.02500000,1
16,"Zone A",,"Production agricole","Extérieur","tritunnel",,1
17,"Forçage endive",,"Production transformation","Hall technique","Salle beige",,1
18,"Non affecté",,,"Bâtiment principal",,,0
19,"4",,"Production","Bâtiment principal","Cave",,0
20,"1",,"Divers","Bâtiment principal","Cave",,0
21,"Stock produit phytosanitaire",,"Divers","Hall technique",,,1
22,"3",,"Divers","Bâtiment principal","Cave",,0
23,"Stock de semences","T°C ambiante","Stock végétaux","Hall technique","Bureau",,1
24,"Stock des outils à main",,"Divers","Hall technique",,,1
25,"Non affecté",,,"Bâtiment principal",,,0
26,"Non affecté",,,"Bâtiment principal",,,0
27,"Stock amendement organique",,"Divers","Hall technique",,,1
28,"Non affecté",,,"Bâtiment principal",,,0
29,"Stock tomate","T°C ambiante","Stock végétaux","Hall technique",,,1
30,"Stock oignon, échalotte","T°C ambiante","Stock végétaux","Hall technique",,,1
31,"Frigo semences","Chambre froide","Stock végétaux","Hall technique","Bureau",,1
32,"Stock emballage (papier, plastique)","T°C ambiante","Divers","Hall technique",,,1
33,"Stock jupe pour papier","T°C ambiante","Divers","Hall technique",,,1
34,"Stock godet","T°C ambiante","Divers","Hall technique",,,1
35,"Stock P17, fd Bio (rouleaux neufs)","T°C ambiante","Divers","Hall technique",,,1
36,"Non affecté",,,"Bâtiment principal",,,0
37,"Stock caisse adhérent","T°C ambiante","Divers","Hall technique",,,1
38,"Stock caisse verte, grise, bleue vide","T°C ambiante","Divers","Hall technique",,,1
39,"Stock gaz","T°C extérieure","Divers","Extérieur",,,0
40,"pas affecté",,"Divers","Magasin",,,0
41,"Hall de vente","T°C ambiante","Vente","Magasin",,,1
42,"Réserve sec","T°C ambiante","Vente","Magasin",,,1
43,"D",,"Production agricole","Serre","Tunnel",0.02500000,1
44,"C",,"Production agricole","Serre","Tunnel",0.02500000,1
45,"B",,"Production agricole","Serre","Tunnel",0.02500000,1
46,"Calendula",,"Production agricole","Extérieur","Thaon-les-Vosges",0.60000000,1
47,"Catherine",,"Production agricole","Extérieur","Thaon-les-Vosges",0.38000000,1
48,"Scierie N°1",,"Production agricole","Extérieur","Thaon-les-Vosges",0.50000000,1
49,"Ruer",,"Production agricole","Extérieur","Thaon-les-Vosges",0.01000000,1
50,"Vallero",,"Production agricole","Extérieur","Thaon-les-Vosges",0.31000000,1
