"N° Panier","Date Panier","N° sem Panier","Jour Panier","Type Panier","Prix Panier","Qtte Panier"
1,2009-01-07,2,"Mercredi","Simple",6.77,265.00
2,2009-01-07,2,"Mercredi","Familial",12.08,83.00
3,2009-01-09,2,"Vendredi","Simple",6.77,200.00
4,2009-01-09,2,"Vendredi","Familial",12.08,50.00
5,2009-01-14,3,"Mercredi","Simple",6.94,260.00
6,2009-01-14,3,"Mercredi","Familial",12.34,79.00
7,2009-01-16,3,"Vendredi","Simple",6.94,216.00
8,2009-01-16,3,"Vendredi","Familial",12.34,50.00
9,2009-01-21,4,"Mercredi","Simple",6.47,276.00
10,2009-01-21,4,"Mercredi","Familial",10.90,81.00
11,2009-01-23,4,"Vendredi","Simple",6.47,211.00
12,2009-01-23,4,"Vendredi","Familial",10.90,45.00
13,2009-01-28,5,"Mercredi","Simple",6.86,258.00
14,2009-01-28,5,"Mercredi","Familial",11.37,78.00
15,2009-01-30,5,"Vendredi","Simple",6.53,199.00
16,2009-01-30,5,"Vendredi","Familial",11.04,45.00
17,2009-02-04,6,"Mercredi","Simple",6.78,211.00
18,2009-02-04,6,"Mercredi","Familial",10.92,90.00
19,2009-02-06,6,"Vendredi","Simple",6.78,222.00
20,2009-02-06,6,"Vendredi","Familial",10.92,55.00
21,2009-02-11,7,"Mercredi","Simple",6.32,216.00
22,2009-02-11,7,"Mercredi","Familial",11.50,45.00
23,2009-02-13,7,"Vendredi","Simple",6.32,216.00
24,2009-02-13,7,"Vendredi","Familial",11.50,45.00
25,2009-02-18,8,"Mercredi","Simple",0.00,0.00
26,2009-02-18,8,"Mercredi","Familial",0.00,0.00
27,2009-02-20,8,"Vendredi","Simple",0.00,0.00
28,2009-02-20,8,"Vendredi","Familial",0.00,0.00
29,2009-02-25,9,"Mercredi","Simple",6.82,255.00
30,2009-02-25,9,"Mercredi","Familial",10.85,100.00
31,2009-02-27,9,"Vendredi","Simple",6.82,220.00
32,2009-02-27,9,"Vendredi","Familial",10.85,53.00
33,2009-03-04,10,"Mercredi","Simple",8.13,290.00
34,2009-03-04,10,"Mercredi","Familial",12.96,95.00
35,2009-03-06,10,"Vendredi","Simple",8.13,216.00
36,2009-03-06,10,"Vendredi","Familial",12.96,55.00
37,2009-03-11,11,"Mercredi","Simple",6.81,274.00
38,2009-03-11,11,"Mercredi","Familial",12.11,88.00
39,2009-03-13,11,"Vendredi","Simple",6.81,226.00
40,2009-03-13,11,"Vendredi","Familial",12.11,55.00
41,2009-03-18,12,"Mercredi","Simple",7.20,302.00
42,2009-03-18,12,"Mercredi","Familial",12.36,91.00
43,2009-03-20,12,"Vendredi","Simple",7.20,221.00
44,2009-03-20,12,"Vendredi","Familial",12.36,53.00
45,2009-03-25,13,"Mercredi","Simple",7.02,287.00
46,2009-03-25,13,"Mercredi","Familial",12.69,92.00
47,2009-03-27,13,"Vendredi","Familial",12.69,56.00
48,2009-03-27,13,"Vendredi","Simple",7.02,240.00
49,2009-04-01,14,"Mercredi","Familial",13.34,100.00
50,2009-04-01,14,"Mercredi","Simple",7.44,316.00
51,2009-04-03,14,"Vendredi","Familial",13.34,60.00
52,2009-04-03,14,"Vendredi","Simple",7.16,226.00
53,2009-04-08,15,"Mercredi","Familial",13.49,88.00
54,2009-04-08,15,"Mercredi","Simple",6.94,268.00
55,2009-04-10,15,"Vendredi","Familial",13.49,54.00
56,2009-04-10,15,"Vendredi","Simple",6.94,224.00
57,2009-04-15,16,"Mercredi","Simple",8.31,277.00
58,2009-04-15,16,"Mercredi","Familial",13.27,93.00
59,2009-04-17,16,"Vendredi","Simple",8.39,207.00
60,2009-04-17,16,"Vendredi","Familial",13.34,66.00
61,2009-04-22,17,"Mercredi","Simple",8.20,273.00
62,2009-04-22,17,"Mercredi","Familial",14.36,108.00
63,2009-04-24,17,"Vendredi","Simple",7.84,207.00
64,2009-04-24,17,"Vendredi","Familial",13.34,66.00
65,2009-04-29,18,"Mercredi","Simple",7.29,292.00
66,2009-04-29,18,"Mercredi","Familial",13.63,102.00
67,2009-05-01,18,"Vendredi","Simple",8.83,210.00
68,2009-05-01,18,"Vendredi","Familial",13.72,61.00
69,2009-05-06,19,"Mercredi","Simple",7.44,301.00
70,2009-05-06,19,"Mercredi","Familial",13.58,99.00
71,2009-05-08,19,"Vendredi","Simple",7.44,245.00
72,2009-05-08,19,"Vendredi","Familial",13.58,65.00
73,2009-05-13,20,"Mercredi","Simple",7.54,303.00
74,2009-05-13,20,"Mercredi","Familial",13.68,97.00
75,2009-05-15,20,"Vendredi","Simple",7.17,223.00
76,2009-05-15,20,"Vendredi","Familial",12.93,58.00
77,2009-05-20,21,"Mercredi","Simple",6.95,283.00
78,2009-05-20,21,"Mercredi","Familial",12.21,93.00
79,2009-05-22,21,"Vendredi","Simple",6.95,236.00
80,2009-05-22,21,"Vendredi","Familial",11.78,56.00
81,2009-05-27,22,"Mercredi","Simple",7.28,278.00
82,2009-05-27,22,"Mercredi","Familial",13.07,125.00
83,2009-05-29,22,"Vendredi","Simple",7.12,198.00
84,2009-05-29,22,"Vendredi","Familial",13.07,65.00
85,2009-06-03,23,"Mercredi","Simple",9.56,297.00
86,2009-06-03,23,"Mercredi","Familial",12.78,104.00
