"N° Panier","Code Veg","Lib Veg","Lib Veg MAJ","Prix Veg","Qtte Veg Panier","Qtte Veg panier Arondie"
987,49,,,1.00,1.00,1.00
986,79,,,1.20,1.00,1.00
986,8,,,1.50,1.00,1.00
986,23,,,2.00,1.00,1.00
986,87,,,1.40,1.00,1.00
987,87,,,1.40,1.00,1.00
988,4,,,1.00,1.00,1.00
988,35,,,0.40,2.00,2.00
988,49,,,1.00,2.00,2.00
988,61,,,1.00,1.00,1.00
988,68,,,0.30,1.00,1.00
988,86,,,2.50,0.80,0.80
977,2,,,0.80,1.00,1.00
977,4,,,0.90,1.00,1.00
977,33,,,0.50,2.00,2.00
977,35,,,0.40,2.00,2.00
977,47,,,5.80,0.60,0.60
977,68,,,0.30,2.00,2.00
977,86,,,2.50,1.00,1.00
978,41,,,0.30,3.00,3.00
978,87,,,1.25,1.00,1.00
980,2,,,0.80,1.00,1.00
980,4,,,0.76,1.00,1.00
980,33,,,0.50,2.00,2.00
980,35,,,0.40,5.00,5.00
980,47,,,5.80,0.80,0.80
980,68,,,0.30,2.00,2.00
980,86,,,2.50,1.00,1.00
980,41,,,0.30,3.00,3.00
980,87,,,1.25,1.00,1.00
979,2,,,0.80,1.00,1.00
979,4,,,0.76,1.00,1.00
979,33,,,0.50,2.00,2.00
979,35,,,0.40,2.00,2.00
979,47,,,5.80,0.60,0.60
979,68,,,0.30,1.00,1.00
979,86,,,2.50,0.80,0.80
979,87,,,1.25,1.00,1.00
988,87,,,1.40,2.00,2.00
988,8,,,1.50,1.00,1.00
988,79,,,1.20,1.00,1.00
1057,8,,,1.50,0.90,0.90
1057,13,,,1.80,1.00,1.00
978,33,,,0.50,2.00,2.00
978,35,,,0.40,5.00,5.00
978,47,,,5.80,0.80,0.80
978,68,,,0.30,2.00,2.00
978,86,,,2.50,1.00,1.00
1057,65,,,1.79,0.40,0.40
1057,78,,,1.55,0.30,0.30
1058,38,,,3.22,0.20,0.20
1058,78,,,1.55,0.30,0.30
1058,53,,,6.00,0.40,0.40
1058,54,,,1.55,0.35,0.35
1058,58,,,1.50,0.50,0.50
1058,65,,,1.79,0.60,0.60
1058,74,,,1.50,1.00,1.00
1058,8,,,1.50,2.00,2.00
1065,51,,,10.00,0.22,0.22
4,69,"pomme de terre agria","pomme de terre agria",1.12,1.00,1.00
4,77,"radis noir long","radis noir long",1.55,0.40,0.40
5,7,"betterave cuite","betterave cuite",1.80,0.40,0.40
5,10,"carotte de couleur","carotte de couleur",1.50,0.50,0.50
5,51,"mesclum","mesclum de salade",10.00,0.15,0.15
5,1086,"choucroute","choucroute",2.08,1.00,1.00
5,54,"navet","navet",1.55,0.30,0.30
5,58,"oignon jaune","oignon jaune",1.42,0.30,0.30
5,69,"pomme de terre agria","pomme de terre agria",1.00,1.00,1.00
6,7,"betterave cuite","betterave cuite",1.80,0.75,0.75
6,10,"carotte de couleur","carotte de couleur",1.50,1.00,1.00
6,51,"mesclum","mesclum de salade",10.00,0.15,0.15
6,1086,"choucroute","choucroute",2.08,2.00,2.00
6,34,"courge","courge",1.34,1.00,1.00
6,54,"navet","navet",1.55,0.50,0.50
6,58,"oignon jaune","oignon jaune",1.42,0.50,0.50
6,69,"pomme de terre agria","pomme de terre agria",1.00,1.00,1.00
337,35,"courgette","courgette",0.30,4.00,4.00
337,47,"haricot vert","haricot vert",5.80,0.25,0.25
337,68,"poivron","poivron",0.30,2.00,2.00
337,86,"tomate coulis","tomate ronde",1.50,0.25,0.25
337,86,"tomate ronde","tomate ronde",2.00,1.00,1.00
338,2,"aubergine","aubergine",0.60,1.00,1.00
338,4,"batavia","batavia",0.78,1.00,1.00
338,5,"bettes","bette",1.00,1.00,1.00
338,33,"concombre","concombre",0.50,2.00,2.00
338,35,"courgette","courgette",0.30,8.00,8.00
338,47,"haricot vert","haricot vert",5.80,0.50,0.50
338,68,"poivron","poivron",0.30,2.00,2.00
338,87,"tomate trilly 50","tomate trilly 250 ",1.25,1.00,1.00
338,86,"tomate ronde","tomate ronde",2.00,1.50,1.50
339,2,"aubergine","aubergine",0.90,1.00,1.00
339,4,"batavia","batavia",0.78,1.00,1.00
339,26,"chou rave","chou rave",0.62,0.20,0.20
339,33,"concombre","concombre",0.50,1.00,1.00
1065,10,,,1.60,1.00,1.00
290,64,,,8.00,0.40,0.40
290,25,,,1.50,1.00,1.00
246,8,,,1.60,2.00,2.00
245,8,,,1.60,0.50,0.50
981,4,,,0.79,1.00,1.00
981,8,,,1.50,0.50,0.50
981,33,,,0.50,2.00,2.00
981,35,,,0.40,2.00,2.00
981,47,,,5.80,0.50,0.50
981,65,,,1.79,0.40,0.40
981,86,,,2.50,1.00,1.00
982,4,,,0.79,1.00,1.00
982,8,,,1.50,0.50,0.50
982,33,,,0.50,2.00,2.00
982,35,,,0.40,4.00,4.00
982,47,,,5.80,0.70,0.70
982,65,,,1.79,0.50,0.50
982,86,,,2.50,1.00,1.00
982,2,,,0.80,1.00,1.00
982,68,,,0.30,2.00,2.00
982,87,,,1.25,1.00,1.00
984,4,,,0.79,1.00,1.00
984,8,,,1.50,0.50,0.50
984,33,,,0.50,3.00,3.00
984,35,,,0.40,4.00,4.00
984,47,,,5.80,0.70,0.70
984,65,,,1.79,0.50,0.50
984,86,,,2.50,1.00,1.00
984,2,,,0.80,1.00,1.00
984,68,,,0.30,2.00,2.00
984,87,,,1.25,1.00,1.00
983,4,,,0.79,1.00,1.00
983,8,,,1.50,0.50,0.50
983,35,,,0.40,2.00,2.00
983,47,,,5.80,0.50,0.50
983,65,,,1.79,0.40,0.40
983,86,,,2.50,1.00,1.00
983,87,,,1.25,1.00,1.00
985,2,,,0.80,1.00,1.00
985,4,,,0.50,2.00,2.00
985,35,,,0.40,2.00,2.00
985,68,,,0.30,2.00,2.00
985,86,,,2.50,1.00,1.00
985,61,,,1.00,1.00,1.00
985,79,,,1.20,1.00,1.00
986,2,,,0.80,1.00,1.00
986,4,,,0.50,2.00,2.00
986,35,,,0.40,2.00,2.00
986,68,,,0.30,2.00,2.00
986,86,,,2.50,1.20,1.20
986,61,,,1.00,1.00,1.00
987,2,,,0.80,1.00,1.00
978,2,,,0.80,1.00,1.00
978,4,,,0.90,1.00,1.00
987,4,,,1.00,1.00,1.00
987,35,,,0.40,2.00,2.00
987,61,,,1.00,1.00,1.00
987,68,,,0.30,2.00,2.00
988,2,,,0.80,1.00,1.00
987,86,,,2.50,0.80,0.80
137,33,"concombre 00 g","concombre",0.40,1.00,1.00
137,35,"courgette 00 g","courgette",0.30,1.00,1.00
137,47,"haricot vert","haricot vert",4.99,0.60,0.60
1,4,"batavia","batavia",1.09,1.00,1.00
1,8,"carotte","carotte",1.50,0.50,0.50
1,13,"celeri rave","celeri rave",1.59,0.60,0.60
1,22,"chou de Milan","chou de Milan",1.42,1.00,1.00
1,34,"courge","courge",1.34,1.00,1.00
1,54,"navet","navet",1.55,0.40,0.40
1,58,"oignon jaune","oignon jaune",1.42,0.20,0.20
1,77,"radis noir long","radis noir long",1.55,0.20,0.20
2,4,"batavia","batavia",1.09,2.00,2.00
2,8,"carotte","carotte",1.50,1.00,1.00
2,13,"celeri rave","celeri rave",1.59,0.70,0.70
2,22,"chou de Milan","chou de Milan",1.42,1.00,1.00
2,34,"courge","courge",1.34,1.00,1.00
2,54,"navet","navet",1.55,0.60,0.60
2,58,"oignon jaune","oignon jaune",1.42,0.20,0.20
2,90,"pain de sucre","pain de sucre",1.57,1.00,1.00
2,69,"pomme de terre agria","pomme de terre agria",1.12,1.00,1.00
