id,swift,banque,bic,agence,domiciliation
1,AGRIFRPP802,Crédit Agricole,10206,Nord-Est,25 rue Libergier 51088 Reims
2,AGRIFRPP810,Crédit Agricole,11006,Champagne Bourgogne,269 faubourg Croncels 10000 Troyes
3,AGRIFRPP825,Crédit Agricole,12506,Franche-Comté,11 avenue Élisée-Cusenier 25000 Besançon
4,AGRIFRPP861,Crédit Agricole,16106,Lorraine,56-58 avenue André Malraux 57000 Metz
5,AGRIFRPP867,Crédit Agricole,16706,Nord de France,10 avenue Foch 59020 Lille
6,AGRIFRPP868,Crédit Agricole,16806,Centre France,1 avenue de la Libération 63045 Clermont-Ferrand
7,AGRIFRPP872,Crédit Agricole,17206,Alsace Vosges,1 allée des Marquises 67000 Strasbourg
8,AGRIFRPP878,Crédit Agricole,17806,Centre-Est,1 rue Pierre de Truchis de Lays 69410 Champagne-au-Mont-d'Or
9,AGRIFRPP879,Crédit Agricole,17906,Anjou et Maine,77 avenue Olivier Messiaen 72000 Le Mans
10,AGRIFRPP881,Crédit Agricole,18106,CA des Savoie,4 avenue du Pré Felin 74940 Annecy
11,AGRIFRPP887,Crédit Agricole,18706,Brie Picardie,500 rue Saint-Fuscien 80090 Amiens
12,BNPAFRPPEPL,BNP Paribas,30004,Épinal,16 boulevard des Italiens 75009 Paris
13,BNPAFRPPIFE,BNP Paribas,30004,Île de France Est,Paris
14,BNPAFRPPMTZ,BNP Paribas,30004,Metz,5 avenue Robert Schuman 57000 Metz
15,BNPAFRPPNCY,BNP Paribas,30004,Nancy,8 rue Saint Jean 54000 Nancy
16,BNPAFRPPPLZ,BNP Paribas,30004,Élysée Haussmann Entreprises,8-12 rue Sainte Cécile 75000 Paris
17,BNPAFRPPTAS,BNP Paribas,30004,Lyon,37 rue Victor Hugo 69000 Lyon
18,BNPAFRPPXXX,BNP Paribas,30004,Paris,16 boulevard des Italiens 75009 Paris
19,BOUSFRPPBDF,Boursorama,40618,Boursorama,44 rue Traversière 92100 Boulogne Billancourt
20,CCBPFRPPBDX,Banque Populaire,10907,Aquitaine Centre Atlantique,10 quai de Queyries 33072 Bordeaux
21,CCBPFRPPDJN,Banque Populaire,10807,Bourgogne Franche-Comté,14 boulevard de la Tremouille 21008 Dijon
22,CCBPFRPPLIL,Banque Populaire,13507,Nord,17 rue d'Arras 59000 Lille
23,CCBPFRPPLYO,Banque Populaire,13907,Loire et Lyonnais,Lyon
24,CCBPFRPPMAR,Banque Populaire,16607,Méditéranée,457 promenade des Anglais 06000 Nice
25,CCBPFRPPMTZ,Banque Populaire,14707,Alsace Lorraine Champagne,3 rue François de Curel 57021 Metz
26,CCBPFRPPMTG,Banque Populaire,10207,Rives de Paris,31 bd Edgar Quinet 75000 Paris
27,CCBPFRPPNAN,Banque Populaire,13807,Grand Ouest,15 boulevard de la Boutiere cs 2685 35768 Rennes
28,CCBPFRPPNCE,Banque Populaire,15607,Côte d'Azur,457 promenade desAanglais 06000 Nice
29,CCBPFRPPPPG,Banque Populaire,16607,Sud,av de Baixas espace Pyrène 66240 Saint Estève
30,CCBPFRPPSTR,Banque Populaire,17607,Alsace,5-7 rue du 22 novembre 67001 Strasbourg
31,CCBPFRPPTLS,Banque Populaire,17807,Occitane,33-43 avenue Georges Pompidou 31135 Balma
32,CCBPFRPPVER,Banque Populaire,18707,Val de France,9 avenue Newton 78180 Montigny-le-Bretonneux
33,CCFRFRPP,HSBC Continental Europe,30056,,48-52 rue Saint Jean 54000 Nancy
34,CEPAFRPP131,Caisse d'Épargne,11315,CEPAC,Place Estragin Pastre 13006 Marseille
35,CEPAFRPP142,Caisse d'Épargne,11425,Côte de Nacre,151 rue d'Uelzen Bois-Guillaume
36,CEPAFRPP213,Caisse d'Épargne,12135,Bourgogne Franche-Comté,1 rond point de la nation 21005 Dijon
37,CEPAFRPP313,Caisse d'Épargne,13135,Midi-Pyrénées,42 rue du Languedoc 31002 Toulouse
38,CEPAFRPP333,Caisse d'Épargne,13335,Aquitaine Poitou Charente,
39,CEPAFRPP348,Caisse d'Épargne,13485,Languedoc Roussillon,254 rue Ichel Teule 34000 Montpellier
40,CEPAFRPP382,Caisse d'Épargne,13825,Rhône Alpes,tour incity 116 cours Lafayette 69003 Lyon
41,CEPAFRPP426,Caisse d'Épargne,14265,Loire Drome Ardèche,
