"code_commune_insee","nom_de_la_commune","code_postal","libelle_d_acheminement","ligne_5","_geopoint","latitude","longitude"
"88001","LES ABLEUVENETTES","88270","LES ABLEUVENETTES",,"48.1909774849846,6.193662618021051","48.1909774849846","6.193662618021051"
"88002","AHEVILLE","88500","AHEVILLE",,"48.2836218719917,6.200667010718444","48.2836218719917","6.200667010718444"
"88003","AINGEVILLE","88140","AINGEVILLE",,"48.206009084785514,5.765943112256725","48.206009084785514","5.765943112256725"
"88004","AINVELLE","88320","AINVELLE",,"47.98660885916422,5.826818343423163","47.98660885916422","5.826818343423163"
"88005","ALLARMONT","88110","ALLARMONT",,"48.469729024153736,7.017607700284586","48.469729024153736","7.017607700284586"
"88006","AMBACOURT","88500","AMBACOURT",,"48.35149895829123,6.139401133794489","48.35149895829123","6.139401133794489"
"88007","AMEUVELLE","88410","AMEUVELLE",,"47.95100055473843,5.949762410919294","47.95100055473843","5.949762410919294"
"88008","ANGLEMONT","88700","ANGLEMONT",,"48.377311225883645,6.671316054415843","48.377311225883645","6.671316054415843"
"88009","ANOULD","88650","ANOULD",,"48.17943964230536,6.938977854762308","48.17943964230536","6.938977854762308"
"88010","AOUZE","88170","AOUZE",,"48.383631501666045,5.867542270353049","48.383631501666045","5.867542270353049"
"88011","ARCHES","88380","ARCHES",,"48.108117208473445,6.507695098675553","48.108117208473445","6.507695098675553"
"88012","ARCHETTES","88380","ARCHETTES",,"48.13236614554342,6.5484315845216665","48.13236614554342","6.5484315845216665"
"88013","AROFFE","88170","AROFFE",,"48.41118239946779,5.899734198661793","48.41118239946779","5.899734198661793"
"88014","ARRENTES DE CORCIEUX","88430","ARRENTES DE CORCIEUX",,"48.13355984626832,6.871611810145594","48.13355984626832","6.871611810145594"
"88015","ATTIGNEVILLE","88300","ATTIGNEVILLE",,"48.39688809416142,5.826557107191882","48.39688809416142","5.826557107191882"
"88016","ATTIGNY","88260","ATTIGNY",,"48.062393240922745,6.02487451851471","48.062393240922745","6.02487451851471"
"88017","AULNOIS","88300","AULNOIS",,"48.261731921087105,5.778739885849189","48.261731921087105","5.778739885849189"
"88019","AUTIGNY LA TOUR","88300","AUTIGNY LA TOUR",,"48.413692102558954,5.786884475571494","48.413692102558954","5.786884475571494"
"88020","AUTREVILLE","88300","AUTREVILLE",,"48.48673682103373,5.868685422198611","48.48673682103373","5.868685422198611"
"88021","AUTREY","88700","AUTREY",,"48.291761448156,6.724968764496979","48.291761448156","6.724968764496979"
"88022","AUZAINVILLIERS","88140","AUZAINVILLIERS",,"48.237546769178316,5.855937182763831","48.237546769178316","5.855937182763831"
"88023","AVILLERS","88500","AVILLERS",,"48.3125004254282,6.2050100647619395","48.3125004254282","6.2050100647619395"
"88024","AVRAINVILLE","88130","AVRAINVILLE",,"48.37890985460163,6.219411721154916","48.37890985460163","6.219411721154916"
"88025","AVRANVILLE","88630","AVRANVILLE",,"48.416537135631465,5.538838513292431","48.416537135631465","5.538838513292431"
"88026","AYDOILLES","88600","AYDOILLES",,"48.21210076595216,6.573817972351439","48.21210076595216","6.573817972351439"
"88027","BADMENIL AUX BOIS","88330","BADMENIL AUX BOIS",,"48.31145758368965,6.528463156058686","48.31145758368965","6.528463156058686"
"88028","LA BAFFE","88460","LA BAFFE",,"48.1649531977257,6.558383967305867","48.1649531977257","6.558383967305867"
"88029","LA VOGE LES BAINS","88240","LA VOGE LES BAINS","BAINS LES BAINS","48.01704130363961,6.254250835204911","48.01704130363961","6.254250835204911"
"88029","LA VOGE LES BAINS","88240","LA VOGE LES BAINS","HARSAULT","48.01704130363961,6.254250835204911","48.01704130363961","6.254250835204911"
"88029","LA VOGE LES BAINS","88240","LA VOGE LES BAINS","HAUTMOUGEY","48.01704130363961,6.254250835204911","48.01704130363961","6.254250835204911"
"88029","LA VOGE LES BAINS","88240","LA VOGE LES BAINS","LA FORGE DE THUNIMONT","48.01704130363961,6.254250835204911","48.01704130363961","6.254250835204911"
"88029","LA VOGE LES BAINS","88240","LA VOGE LES BAINS","THUNIMONT","48.01704130363961,6.254250835204911","48.01704130363961","6.254250835204911"
"88030","BAINVILLE AUX SAULES","88270","BAINVILLE AUX SAULES",,"48.20816068198971,6.132918298748921","48.20816068198971","6.132918298748921"
"88031","BALLEVILLE","88170","BALLEVILLE",,"48.33632898413646,5.846680919019928","48.33632898413646","5.846680919019928"
"88032","BAN DE LAVELINE","88520","BAN DE LAVELINE",,"48.22541141266126,7.080070256808526","48.22541141266126","7.080070256808526"
"88033","BAN DE SAPT","88210","BAN DE SAPT",,"48.339968540569785,7.016053346984992","48.339968540569785","7.016053346984992"
"88035","BARBEY SEROUX","88640","BARBEY SEROUX",,"48.129095331692426,6.846627748201894","48.129095331692426","6.846627748201894"
"88036","BARVILLE","88300","BARVILLE",,"48.37849292610038,5.770873999659264","48.37849292610038","5.770873999659264"
"88037","BASSE SUR LE RUPT","88120","BASSE SUR LE RUPT",,"47.98549414754875,6.772370941969113","47.98549414754875","6.772370941969113"
"88038","BATTEXEY","88130","BATTEXEY",,"48.38922617762282,6.184141546610589","48.38922617762282","6.184141546610589"
"88039","BAUDRICOURT","88500","BAUDRICOURT",,"48.30865652047761,6.056649674939143","48.30865652047761","6.056649674939143"
"88040","BAYECOURT","88150","BAYECOURT",,"48.271378943746726,6.494088869864993","48.271378943746726","6.494088869864993"
"88041","BAZEGNEY","88270","BAZEGNEY",,"48.26535664261635,6.234383621782402","48.26535664261635","6.234383621782402"
"88042","BAZIEN","88700","BAZIEN",,"48.415052404215075,6.6806263638016","48.415052404215075","6.6806263638016"
"88043","BAZOILLES ET MENIL","88500","BAZOILLES ET MENIL",,"48.258952833091044,6.106430280192063","48.258952833091044","6.106430280192063"
"88044","BAZOILLES SUR MEUSE","88300","BAZOILLES SUR MEUSE",,"48.29886583994036,5.648954126022577","48.29886583994036","5.648954126022577"
"88045","BEAUFREMONT","88300","BEAUFREMONT",,"48.256234460058444,5.7435771975733925","48.256234460058444","5.7435771975733925"
"88046","BEAUMENIL","88600","BEAUMENIL",,"48.168948206381046,6.721203930273253","48.168948206381046","6.721203930273253"
"88047","BEGNECOURT","88270","BEGNECOURT",,"48.20949270784424,6.165289153190773","48.20949270784424","6.165289153190773"
