saison,ferie,jour
2020,Jour de l''An,'2020-01-01'
2020,Fête nationale,'2020-07-14'
2020,Assomption,'2020-08-15'
2020,Toussaint,'2020-11-01'
2020,Armistice 1918,'2020-11-11'
2020,Noël,'2020-12-25'
2021,Jour de l''An,'2021-01-01'
2021,Fête nationale,'2021-07-14'
2021,Assomption,'2021-08-15'
2021,Toussaint,'2021-11-01'
2021,Armistice 1918,'2021-11-11'
2021,Noël,'2021-12-25'
2022,Jour de l''An,'2022-01-01'
2022,Fête nationale,'2022-07-14'
2022,Assomption,'2022-08-15'
2022,Toussaint,'2022-11-01'
2022,Armistice 1918,'2022-11-11'
2022,Noël,'2022-12-25'
2023,Jour de l''An,'2023-01-01'
2023,Lundi de Pâques,'2023-04-10'
2023,Fête du Travail,'2023-05-01'
2023,Victoire 1945,'2023-05-08'
2023,Pentecôte,'2023-05-29'
2023,Fête nationale,'2023-07-14'
2023,Assomption,'2023-08-15'
2023,Toussaint,'2023-11-01'
2023,Armistice 1918,'2023-11-11'
2023,Noël,'2023-12-25'
2024,Lundi de Pâques,'2024-04-01'
2024,Fête du Travail,'2024-05-01'
2024,Victoire 1945,'2024-05-08'
2024,Pentecôte,'2024-05-20'
2024,Fête nationale,'2024-07-14'
2024,Assomption,'2024-08-15'
2024,Toussaint,'2024-11-01'
2024,Armistice 1918,'2024-11-11'
2024,Noël,'2024-12-25'
2025,Lundi de Pâques,'2025-04-21'
2025,Fête du Travail,'2025-05-01'
2025,Victoire 1945,'2025-05-08'
2025,Ascension,'2025-05-29'
2025,Pentecôte,'2025-06-09'
2025,Fête nationale,'2025-07-14'
2025,Assomption,'2025-08-15'
2025,Armistice 1918,'2025-11-11'
2025,Noël,'2025-12-25'
2026,Lundi de Pâques,'2026-04-06'
2026,Fête du Travail,'2026-05-01'
2026,Victoire 1945,'2026-05-08'
2026,Ascension,'2026-05-14'
2026,Pentecôte,'2026-05-25'
2026,Fête nationale,'2026-07-14'
2026,Armistice 1918,'2026-11-11'
2026,Noël,'2026-12-25'
