tournee_id,depot_id,adherent_id,ordre
37,85,,1
37,19,,2
37,,311,3
37,2,,4
37,4,,5
37,42,,6
37,75,,8
37,14,,9
37,8,,11
37,62,,12
37,3,,14
37,,449,15
37,,257590,16
37,,258296,17
39,,111932,1
39,,595,2
39,62,,3
39,31,,4
39,42,,5
39,,259444,6
39,,257915,7
39,,1579,8
39,14,,9
39,8,,10
39,,260369,11
39,46,,12
39,25,,13
39,,257772,14
39,10,,15
39,,260870,16
39,,260820,17
39,85,,18
39,,258222,19
40,85,,1
40,19,,2
40,6,,3
40,50,,4
40,,260901,5
40,38,,6
40,57,,7
40,61,,8
40,26,,9
40,,258180,10
40,65,,11
40,,61,12
40,,633,13
40,13,,14
40,15,,15
40,,258599,16
41,1,,1
42,1,,1
42,,260404,2
42,,633,3
42,,61,4
43,,259383,1
43,83,,2
43,18,,3
43,8,,4
43,,261092,5
43,42,,6
43,48,,7
43,16,,8
43,,423,9
43,,18,10
43,,260435,11
43,,259045,12
43,,258561,13
43,14,,14
43,,531,15
43,,261057,16
43,9,,17
43,34,,18
43,46,,19
43,,258607,20
43,19,,21
43,,260018,22
43,,258222,23
43,12,,24
43,84,,25
43,77,,26
43,,259018,27
43,0,,28
44,1,,1
45,21,,1
45,84,,2
45,,258675,3
45,80,,4
45,81,,5
45,,260829,6
45,,214,7
45,,260136,8
45,,260681,9
46,55,,1
46,60,,2
46,20,,3
46,,260115,4
46,17,,5
47,78,,1
47,36,,2
