livraison_id,abonnement_id,qte,livre,depot_id,adherent_id,annee,jour,produit_id,semaine,distribution
1886862,26153,1,1,20,260265,2024,2024-01-12,1,2,10
1886863,26153,1,1,20,260265,2024,2024-01-19,1,3,10
1886864,26153,1,1,20,260265,2024,2024-01-26,1,4,10
1886865,26153,1,1,20,260265,2024,2024-02-02,1,5,10
1886866,26153,1,1,20,260265,2024,2024-02-09,1,6,10
1886867,26153,1,1,20,260265,2024,2024-02-16,1,7,10
1886868,26153,1,1,20,260265,2024,2024-02-23,1,8,10
1886869,26153,1,1,20,260265,2024,2024-03-01,1,9,10
1886870,26153,1,1,20,260265,2024,2024-03-08,1,10,10
1886871,26153,1,1,20,260265,2024,2024-03-15,1,11,10
1886872,26153,1,1,20,260265,2024,2024-03-22,1,12,10
1886873,26153,1,1,20,260265,2024,2024-03-29,1,13,10
1886874,26153,1,1,20,260265,2024,2024-04-05,1,14,10
1886875,26153,1,1,20,260265,2024,2024-04-12,1,15,10
1886876,26153,1,1,20,260265,2024,2024-04-19,1,16,10
1886877,26153,1,1,20,260265,2024,2024-04-26,1,17,10
1886878,26153,1,1,20,260265,2024,2024-05-03,1,18,10
1886879,26153,1,1,20,260265,2024,2024-05-10,1,19,10
1886880,26153,1,1,20,260265,2024,2024-05-17,1,20,10
1886881,26153,1,1,20,260265,2024,2024-05-24,1,21,10
1886882,26153,1,1,20,260265,2024,2024-05-31,1,22,10
1886883,26153,1,1,20,260265,2024,2024-06-07,1,23,10
1886884,26153,1,1,20,260265,2024,2024-06-14,1,24,10
1886885,26153,1,1,20,260265,2024,2024-06-21,1,25,10
1886886,26153,1,1,20,260265,2024,2024-06-28,1,26,10
1886887,26153,1,1,20,260265,2024,2024-07-05,1,27,10
1886888,26153,1,1,20,260265,2024,2024-07-12,1,28,10
1886893,26153,2,1,20,260265,2024,2024-08-16,1,33,10
1886894,26153,1,1,20,260265,2024,2024-08-23,1,34,10
1886895,26153,2,1,20,260265,2024,2024-08-30,1,35,10
1886896,26153,1,1,20,260265,2024,2024-09-06,1,36,10
1886897,26153,2,1,20,260265,2024,2024-09-13,1,37,10
1886898,26153,1,1,20,260265,2024,2024-09-20,1,38,10
1886899,26153,2,1,20,260265,2024,2024-09-27,1,39,10
1886900,26153,1,1,20,260265,2024,2024-10-04,1,40,10
1886901,26153,1,1,20,260265,2024,2024-10-11,1,41,10
1886902,26153,1,1,20,260265,2024,2024-10-18,1,42,10
1886903,26153,1,1,20,260265,2024,2024-10-25,1,43,10
1886904,26153,1,1,20,260265,2024,2024-10-31,1,44,10
1886905,26153,1,1,20,260265,2024,2024-11-08,1,45,10
1886906,26153,1,1,20,260265,2024,2024-11-15,1,46,10
1886907,26153,1,1,20,260265,2024,2024-11-22,1,47,10
1886908,26153,1,1,20,260265,2024,2024-11-29,1,48,10
1886909,26153,1,1,20,260265,2024,2024-12-06,1,49,10
1886910,26153,1,1,20,260265,2024,2024-12-13,1,50,10
1886911,26153,1,1,20,260265,2024,2024-12-20,1,51,10
1886912,26154,1,1,1,574,2024,2024-01-12,1,2,8
