id,produit_id,panier,quantite,prix,domicile,actif,code
1,1,Panier simple hebdomadaire,50,710.0,false,true,APS
2,1,Panier simple 15 jours,25,417.50,false,true,APS15
3,2,Panier familial hebdomadaire,50,1220.0,false,true,APF
4,2,Panier familial 15 jours,25,675.0,false,true,APF15
5,1,Panier simple à la carte,1,17.70,false,true,MPSH
6,2,Panier familial à la carte,1,28.0,false,true,MPFH
7,1,Panier solidaire,1,2.5,false,true,MPSSO
8,3,Panier fruité 1,1,14.5,false,true,ABF1
9,4,Panier fruité 2,1,17.5,false,true,ABF2
10,5,Panier fruité 3,1,23.5,false,true,ABF3
11,6,Oeufs x6,1,3.15,false,true,ABOEUF6
12,7,Panier fruité 4,1,25.0,false,true,ABFE
13,1,Panier simple hebdomadaire à domicile,50,925.0,true,true,APDS
14,1,Panier simple 15 jours à domicile,25,515.0,true,true,APDS15
15,2,Panier familial hebdomadaire à domicile,50,1485.0,true,true,APDF
16,2,Panier familial 15 jours à domicile,25,880.0,true,true,APDF15
17,1,Panier simple soutien x12,12,196.0,false,false,APSS12
18,1,Panier simple soutien x6,6,98.0,false,false,APSS6
19,2,Panier familial soutien x12,12,196.0,false,false,APSF12
20,2,Panier familial soutien x6,6,98.0,false,false,APSF6
21,9,Panier Mixte Petite Tribu,50,1450.0,false,true,PMPT
22,9,Panier Mixte Petite Tribu à domicile,50,1700.0,true,true,PMPTD
23,9,Panier Mixte Petite Tribu 15,25,800.0,false,true,PMPT15
24,9,Panier Mixte Petite Tribu 15 à domicile,25,900.0,true,true,PMPTD15
25,9,Panier Mixte Petite Tribu à la carte,1,33.0,false,true,PMPTC
26,9,Panier Mixte Petite Tribu à la carte à domicile,1,37.0,true,true,PMPTDC
27,8,Panier Mixte Grande Tribu,50,2450.0,false,true,PMGT
28,8,Panier Mixte Grande Tribu à domicile,50,2750.0,true,true,PMGTD
29,8,Panier Mixte Grande Tribu 15,25,1300.0,false,true,PMGT15
30,8,Panier Mixte Grande Tribu 15 à domicile,25,1500.0,true,true,PMGTD15
31,8,Panier Mixte Grande Tribu à la carte,1,53.0,false,true,PMGTC
32,8,Panier Mixte Grande Tribu à la carte à domicile,1,61.0,true,true,PMGTDC
33,10,Panier Mixte Solo,50,950.0,false,true,PMSO
34,10,Panier Mixte Solo à domicile,50,1250.0,true,true,PMSOD
35,10,Panier Mixte Solo 15,25,550.0,false,true,PMSO15
36,10,Panier Mixte Solo 15 à domicile,25,675.0,true,true,PMSOD15
37,10,Panier Mixte Solo à la carte,1,23.0,false,true,PMSOC
38,10,Panier Mixte Solo à la carte à domicile,1,28.0,true,true,PMSODC
39,1,Panier simple à la carte à domicile,1,17.70,true,true,APDSC
40,2,Panier familial à la carte à domicile,1,28.0,true,true,APDFC
