code,hierarchie,region,francais,administration,capitale
EE,T.EUR.EUN.BLT.EE,Estonie,,1,Tallinn
EE-37,T.EUR.EUN.BLT.EE.EE-37,Harjumaa,,16,
EE-39,T.EUR.EUN.BLT.EE.EE-39,Hiiumaa,,16,
EE-44,T.EUR.EUN.BLT.EE.EE-44,Ida-Virumaa,,16,
EE-49,T.EUR.EUN.BLT.EE.EE-49,Jõgevamaa,,16,
EE-51,T.EUR.EUN.BLT.EE.EE-51,Järvamaa,,16,
EE-57,T.EUR.EUN.BLT.EE.EE-57,Läänemaa,,16,
EE-59,T.EUR.EUN.BLT.EE.EE-59,Lääne-Virumaa,,16,
EE-65,T.EUR.EUN.BLT.EE.EE-65,Põlvamaa,,16,
EE-67,T.EUR.EUN.BLT.EE.EE-67,Pärnumaa,,16,
EE-70,T.EUR.EUN.BLT.EE.EE-70,Raplamaa,,16,
EE-74,T.EUR.EUN.BLT.EE.EE-74,Saaremaa,,16,
EE-78,T.EUR.EUN.BLT.EE.EE-78,Tartumaa,,16,
EE-82,T.EUR.EUN.BLT.EE.EE-82,Valgamaa,,16,
EE-84,T.EUR.EUN.BLT.EE.EE-84,Viljandimaa,,16,
EE-86,T.EUR.EUN.BLT.EE.EE-86,Võrumaa,,16,
