code,langue,français,ltr
afr,Afrikaans,Afrikaans,1
ain,アイヌ イタㇰ,Aïnou,1
amh,አማርኛ,Amharique,1
arb,العربية,Arabe,0
aym,Aymar aru,Aymará,1
aze,Azərbaycanca,Azéri,1
bal,بلوچی,Baloutche,0
bel,беларуская мова,Biélorussev,1
ben,বাংলা,Bengalî,1
ber,ⵜⴰⵎⴰⵣⵉⵖⵜ,Berbèrev,1
bod,བོད་སྐད་,Tibétain,1
bre,Brezhoneg,Breton,1
bug,Bugis,Bouguinais,1
bul,Български,Bulgare,1
cat,Català,Catalan,1
ces,Čeština,Tchèque,1
cre,ᓀᐦᐃᔭᐍᐏᐣ,Cri,1
dan,Dansk,Danois,1
deu,Deutsch,Allemand,1
div,ދިވެހިބަސ,Maldivien,1
ell,Ελληνικά,Grec,1
eng,English,Anglais,1
est,Eesti keel,Estonien,1
eus,Euskara,Basque,1
fao,Føroyskt,Féroïen,1
fas,فارسی,Perse,0
fin,Suomi,Finnois,1
fra,Français,Français,1
ful,Fulfulde,Peul,1
fur,furlan,Frioulan,1
gil,taetae ni Kiribati,Gilbertin,1
gle,Gaeilge,Irlandais,1
glg,Galego,Galicien,1
guj,ગુજરાતી,Goudjrati,1
hbs,Srpskohrvatski,Serbo-croate,1
heb,עברית,Hébreu,0
hin,हिन्दी,Hindî,1
hpl,"R'lyehian","R'lyehien",1
hrv,Hrvatski,Croate,1
hun,Magyar,Hongrois,1
hye,Հայերեն,Arménien,1
isl,Íslenska,Islandais,1
ita,Italiano,Italien,1
jpn,日本語,Japonais,1
kal,Kalaallisut,Groenlandais,1
kat,ქართული,Géorgien,1
kaz,Қазақ тілі,Kazakh,1
khm,ភាសាខ្មែរ,Khmer,1
kin,kinyaRwanda,Rwanda,1
kir,Кыргыз тили,Kirghize,1
kor,한국어,Coréen,1
kur,كوردی,Kurde,0
lao,ພາສາລາວ,Lao,1
lav,Latviešu valoda,Letton,1
lit,Lietuvių kalba,Lituanien,1
ltz,Luxembourgeois,Lëtzebuergesch,1
mai,मैथिली,Maïthili,1
mkd,Македонски јазик,Macédonien,1
mlg,Malagasy fiteny,Malgache,1
mlt,Malti,Maltais,1
mon,Монгол,Mongol,1
msa,بهاس ملايو,Malais,0
mya,မျန္မာစာ,Birman,1
myn,"Màaya T'àan",Maya,1
nau,Ekakairũ Naoero,Nauri,1
nci,Nāhuatlahtōlli,Nahuatl,1
nep,नेपाली,Népalais,1
nld,Nederlands,Néerlandais,1
nno,Norsk nynorsk,Norvégien nynorsk,1
nob,Norsk bokmål,Norvégien bokmål,1
oto,Otomí,Otomi,1
pan,پنجابی,Pendjabi,0
pap,Papiamentu,Papiamento,1
pol,Polski,Polonais,1
por,Português,Portugais,1
pus,پښت,Pachtou,0
rcf,kréol rénioné,Créole réunionnais,1
roh,Rumantsch grischun,Romanche,1
rom,Romani ćhib,Romani,1
ron,Română,Roumain,1
run,kiRundi,Roundi,1
fut,fuþark,Futhark,1
rus,русский,Russe,1
sin,සිංහල,Singhalais,1
slk,Slovenčina,Slovaque,1
slv,Slovenščina,Slovène,1
sme,Sámi,Same,1
som,Soomaaliga,Somali,1
spa,Español,Espagnol,1
sqi,Shqip,Albanais,1
srd,Sardu,Sarde,1
srn,Sranantonga,sranan tongo,1
swa,kiSwahili,Swahili,1
swe,Svenska,Suédois,1
syr,ܣܘܪܝܝܐ,Syriaque,0
tam,தமிழ்,Tamoul,1
tat,Tatarça,Tatar,1
tel,తెలుగు,Télougou,1
tgk,Тоҷикӣ,Tadjik,1
tgl,Tagalog,Philippin,1
tha,ภาษาไทย,Thaï,1
tir,ትግርኛ,Tigrigna,1
tuk,Түркмен,Turkmènev,1
tur,Türkçe,Turc,1
tvl,'gana Tuvalu,Touvalouéen,1
ukr,Українська,Ukrainien,1
urd,اردو,Ourdou,0
uzb,O'zbek,Ouzbek,1
vie,Tiếng Việt,Vietnamien,1
wol,Wolof,Wolof,1
xho,isiXhosa,Xhosa,1
zho,中文,Chinois,1
zul,isiZulu,Zoulou,1
