code,hierarchie,region,francais,administration,capitale
NL,T.EUR.EUO.NL,Nederland,Pays-bas,1,La Haye
NL-DR,T.EUR.EUO.NL.NL-DR,Drenthe,Drenthe,province,Assen
NL-FL,T.EUR.EUO.NL.NL-FL,Flevoland,Flevoland,province,Lelystad
NL-FR,T.EUR.EUO.NL.NL-FR,Friesland,Frise,province,Leeuwarden
NL-GE,T.EUR.EUO.NL.NL-GE,Gelderland,Gueldre,province,Arnhem
NL-GR,T.EUR.EUO.NL.NL-GR,Groningen,Groningue,province,Groningen
NL-LI,T.EUR.EUO.NL.NL-LI,Limburg,Limburg,province,Maastricht
NL-NB,T.EUR.EUO.NL.NL-NB,Noord Brabant,Brabant-Septentrional,province,'s-Hertogenbosch
NL-NH,T.EUR.EUO.NL.NL-NH,Noord Holland,Hollande-Septentrionale,province,Haarlem
NL-OV,T.EUR.EUO.NL.NL-OV,Overijssel,Overijssel,province,Zwolle
NL-UT,T.EUR.EUO.NL.NL-UT,Utrecht,Utrecht,province,Utrecht
NL-ZE,T.EUR.EUO.NL.NL-ZE,Zeeland,Zélande,province,Middelburg
NL-ZH,T.EUR.EUO.NL.NL-ZH,Zuid Holland,Hollande-Méridionale,province,Den Haag
AW,T.AME.AML.CRB.AW,Aruba,,pays constitutif du royaume des Pays-Bas,Oranjestad
CW,T.AME.AML.CRB.CW,Curaçao,,pays constitutif du royaume des Pays-Bas,Willemstad
SX,T.AME.AML.CRB.SX,Sint Maarten,,état autonome dépendant du royaume des Pays-Bas,Philipsburg
