US-AK,Alaska
US-AL,Alabama
US-AZ,Arizona
US-AR,Arkansas
US-CA,Californie,California
US-CO,Colorado
US-CT,Connecticut
US-DE,Delaware
US-FL,Floride,Florida
US-GA,Géorgie,Georgia
US-HI,Hawaï,Hawaii
US-ID,Idaho
US-IL,Illinois
US-IN,Indiana
US-IA,Iowa
US-KS,Kansas
US-KY,Kentucky
US-LA,Louisiane,Louisiana
US-ME,Maine
US-MD,Maryland
US-MA,Massachusetts
US-MI,Michigan
US-MN,Minnesota
US-MS,Mississippi
US-MO,Missouri
US-MT,Montana
US-NE,Nebraska
US-NV,Nevada
US-NH,New Hampshire
US-NJ,New Jersey
US-NM,Nouveau-Mexique,New Mexico
US-NY,New,York
US-NC,Caroline du Nord,North Carolina
US-ND,Dakota du Nord,North Dakota
US-OH,Ohio
US-OK,Oklahoma
US-OR,Oregon
US-PA,Pennsylvanie,Pennsylvania
US-RI,Rhode Island
US-SC,Caroline du Sud,South Carolina
US-SD,Dakota du Sud,South Dakota
US-TN,Tennessee
US-TX,Texas
US-UT,Utah
US-VT,Vermont
US-VA,Virginie,Virginia
US-WA,Washington
US-WV,Virginie-Occidentale,West Virginia
US-WI,Wisconsin
US-WY,Wyoming
