code,article,famille_code,factpoids,unitevente,prix,suivistock
ABRIBAR,Abricot Secs Barquette 500g,03FS,f,2,9.45,2
ABRICO,Abricot pour Confiture,03ABRICOT,t,3,3.55,2
ABRICON,Abricot du Roussillon,03ABRICOT,t,3,5.9,2
ABRICOT_SEC_500GR,Abricots secs 500g barquette,03FS,f,1,6.5,2
ABRISE,Abricot sec Turquie Vrac,03FS,t,3,13.95,2
ABSINT,Absinthe Bio Plant,05AROM,f,2,2.3,0
ACHE,Ache des montagnes plant,05AROM,f,2,2.3,0
AGAR,Agar agar 2 sachets de 4g,04MOUT,f,1,1.7,2
AGRIA,Agria 5kg,02POMM,f,2,1.5,0
AIL,Ail Frais Vosges,02EPIC,t,3,11,0
AILFRAIS,Ail noir Coffret 2 Piece Espagne,02EPIC,f,2,6.45,2
AILKG,Ail blanc alsace,02EPIC,t,3,9.6,0
AILOURS,Ail des ours plant,05AROM,f,2,2.3,0
AILSCOT,Ail Violet Drôme Kg,02EPIC,t,3,11.9,2
AILTRESSE,Ail Tresse France,02EPIC,f,2,11.5,0
ALOE,Feuille d'aloé vera kg,02AROM,t,3,3.55,0
AMANCAR,Amandes caramel bio 150g,04CONFISER,f,1,6.5,2
AMANDE500,Amande sachet 500g,03FS,f,1,9.6,2
AMASAC,Amandes sachet 500g,03FS,f,2,11.95,2
AMAVRAC,Amandes vrac Italie,03FS,t,3,19.5,2
ANAN,Ananas Costa Rica,03ANANAS,f,2,3.1,2
ANANAS,Ananas cayenne togo Kg,03ANANAS,t,3,4.7,2
ANANASECHE,Ananas séché 100g,12ARTISMON,f,2,3.9,0
ANE,Aneth plant,05AROM,f,2,2.3,0
ANETH,Aneth bouquet,02AROM,f,1,1.4,0
ANGELIQUE,Angélique plant,05AROM,f,2,2.3,0
ANISBREDELE,Anis bredele 100g,04CONFISER,f,2,4.1,2
AROMA,Aromates Plants,05PL,f,2,2.2,0
AROMAVRAC,Persil vrac,02AROM,t,3,14,0
ARTI,Artichaut Plant,05PLANT,f,2,3,0
ARTICH,Artichaut plant,05PL,f,2,2,0
ARTICHAUT,Artichaut violet,02ARTICHAU,t,3,6.95,0
ARTICHAUTJARD,Artichaut jardins,02ARTICHAU,t,3,5.05,0
ARTICVI,coeur d'artichaut ita,04EP,f,2,5.9,0
ASPBOTTE,Asperge Blanche Botte Fr 500g,02ASP,f,2,7.9,2
ASPE,Asperge verte botte 250g,02ASP,f,2,3.7,0
ASPERGE,Asperge blanc vrac Landes,02ASP,t,3,15.6,2
ASPERGLANDES,Asperge Blanche vrac Alsace,02ASP,t,3,15.6,2
ASSIETAPERO,Assiette apero,15TRANSLEG,f,1,6,0
AUBER,Aubergine bio plant motte 8cm,05SOLAN,f,2,1.6,0
AUBERG,Aubergine Jardins,02AUBE,t,3,3.5,0
AUBERGINESCOT,Aubergine,02AUBE,t,3,4.7,2
AUBRAC,Délices d'Aubrac,12,f,1,38.90,0
AVOCAT,Avocat Kenya Kg,03AVOCAT,t,3,7.95,2
AVOCATAFS,Avocat Hass Espagne Kg,03AVOCAT,t,3,7.5,2
AVOCATHASS,Avocat  fuerte Espagne Pièce,03AVOCAT,f,2,1.75,2
AVOKG,Avocat hass mini Espagne kg,03AVOCAT,t,3,7.5,2
AVOMINI,Avocat Mexique KG,03AVOCAT,t,3,7.65,2
BALCHA,Balle Champignon,02CHAM,f,2,12,0
BANANE,Banane,03BANA,t,3,2.45,2
BANDECL,Banane PROMO,03BANA,t,3,1.5,2
BARCOC,Barquette Cocktail,02SACHET,f,2,2,0
BASC,Basilic citron Bio Plant,05AROM,f,2,2.3,0
BASI,Basilic vert Bio Plant,05AROM,f,2,2.3,0
BASIBOTTE,Basilic Botte,02AROM,f,1,1.4,0
BASICAN,Basilic cannelle Bio Plant,05AROM,f,2,2.3,0
BASILI,Basilic vrac,02AROM,t,3,40,0
BASP,Basilic pourpre Bio Plant,05AROM,f,2,2.3,0
BASTHAI,Basilic Thaï Bio Plant,05AROM,f,2,2.3,0
BATA,Batavia Verte Abris Bio Plant,05FEUILLE,f,2,1.3,0
BATAR,Batavia rouge Bio Plant,05FEUILLE,f,2,1.3,0
BATAV,Batavia verte Bio Plant,05FEUILLE,f,2,1.3,0
BATAVI,Feuille de Chêne/Batavia/laitue,02SALA,f,2,1.4,0
BEORAN,Betterave jaune,02BETT,t,3,2.2,0
BETCUI,Betterave cuite,02BETT,t,3,3.5,0
BETT,Bette Poirée bio plant,05FEUILLE,f,2,1.5,0
BETTBT,Betterave rouge Botte,02BETT,f,2,2.1,0
BETTE,Bette,02FEUILLE,t,3,3.6,0
BETTER,Betterave rouge,02BETT,t,3,2,0
BETTR,Betterave rouge bio plant,05RACINE,f,2,1.5,0
BEURRE,Beurre Marcel petite 250g,04PL,f,1,3.75,2
BEURREBARATDEMISEL,Beurre de Baratte Demi-sel 250 gr,04PL,f,2,4,2
BEURREBARATNAT,Beurre de Baratte Doux Tante Héléne 250 gr,04PL,f,2,3.45,0
BEURREIS,Beurre Isigny 200g,04PL,f,2,2.9,2
BEURREROUS,Beurre Roussey 250g,04PL,f,2,3.6,0
BIEAMBKLINTZ,Bière klinz ambrée 50cl,04BIERE,f,1,3.55,2
BIEAMBREE33,Bière luette ambrée 33cl,04BIERE,f,2,2.9,2
BIEAMBREE75,Bière luette ambrée 75cl,04BIERE,f,2,6,2
BIEBLANCHEKLINT,Bière klinz blanche 50cl,04BIERE,f,2,3.55,2
BIEBLONDE75,Bière luette blonde 75cl,04BIERE,f,2,6,2
BIEBLONDKLINT,Bière klinz blonde 50cl,04BIERE,f,1,3.55,2
BIEBRUNEKLINTZ,Bière klinz brune 50cl,04BIERE,f,2,3.55,2
BIERBLONDE33,Bière luette blonde 33cl,04BIERE,f,1,2.9,2
BIERBRUNE33,Bière luette brune 33cl,04BIERE,f,1,2.9,0
BIERBRUNE75,Bière luette brune 75cl,04BIERE,f,1,6,0
BIERECHAAMB,Bière chaouette ambrée 33cl,04BIERE,f,1,2.5,2
BIERECHAAMB75,Bière chaouette ambrée 75cl,04BIERE,f,1,4.9,2
BIERECHABLAN,Bière chaouette blanche 33cl,04BIERE,f,1,2.5,2
BIERECHABLAN75,Bière chaouette blanche 75cl,04BIERE,f,1,4.9,2
BIERECHABLO,Bière chaouette blonde 33cl,04BIERE,f,1,2.5,2
BIERECHABLON75,Bière chaouette blonde 75cl,04BIERE,f,1,4.9,2
BIERECHAPRIN,Bière Chaouette Pirntemps 33 cl,04BIERE,f,1,2.5,2
BIERECHAPRIN75,Bière Chaouette Printemps 75 cl,04BIERE,f,1,4.9,2
BLAPOI,Blanc de Poireaux,02POIR,t,3,5,0
BOCAUXVIDES,Bocaux Vides,15TRANSLEG,f,1,2,0
BOITE_6_OEUFS,Boîte de 6 oeufs gros,04OE,f,2,2.05,2
BOITECHOCO,Boite choco 330g -50%,04CONFISER,f,2,9.5,2
BONITEPASAIA,Bonite Pasaia pruneaux et olives vertes 85g,04POIS,f,1,3.75,0
BONITEZURIGORRI,Bonite Zuri Gorri poivrons rouges 85g,04POIS,f,1,3.75,0
BOUFLEURSJARDINS,Bouquet de  Fleurs,05PF,f,2,5,0
BOUILLONLEG,Bouillon de Légumes 100g,04MOUT,f,1,4,0
BOUILLONLEGUMES,Bouillon de Légumes 125 gr,04MOUT,f,1,5.4,2
BOULGOURVRAC,Boulgour Vrac,04CEREALE,t,3,3.8,2
BOUQUETGARNI,Bouquet garni,02AROM,f,2,1.75,0
BOUR,Bourrache plant,05AROM,f,2,2.3,0
BQCRUD,Crudités en barquette,02MINEST,f,2,3.5,0
BREBISFRESSIOT,Brebis Fressiot,04CREMERIE,t,3,30,0
BREBISPETITFRAIS,Brebis Petit Frais,04CREMERIE,f,1,3.1,0
BREBISYAOURT,Brebis Yaourt 32 cl,04CREMERIE,f,1,3.5,0
BRIE,Brie à la coupe,04FROMAGE,t,3,17.9,2
BRIEMEAUX,Brie Meaux AOP,04FROMAGE,t,3,30.6,2
BRIOCH,Brioche nature 350 g,04PA,f,2,4,2
BRIONA,Brioche nature 500 g,04PA,f,2,4.5,2
BRIORA,Brioche raisins,04PA,f,2,5,2
BRIOSU,Brioche au sucre 350g,04PA,f,2,5,2
BRISCHOCOALLYOU,chocolat all you need,12ARTISMON,f,2,4.95,0
BRISCHOCOLAIT,chocolat lait brisures,12ARTISMON,f,2,4.95,0
BUCHEVR,Buche de chèvre du Mont,04FROMAGE,f,2,5.1,2
BURATA,Burata de vache,04FROMAGE,f,2,2.8,2
CACAOMAIGRE,Cacao maigre poudre 125 gr,12ARTISMON,f,2,2.9,0
CACOLO,Carotte Botte Multicolore Jardins,02CARO,f,2,2.5,0
CAFEETHIOPIE,Boite Café bio Ethiopie 250g,12ARTISMON,f,2,7.9,0
CAFEGR1K,Café Pérou grains 1kg,12ARTISMON,f,2,16,0
CAFEMCONGO,Café Congo corsé moulu 250g,12ARTISMON,f,2,4.8,0
CAFEMDECA,Café décaféiné moulu équilibré 250g,12ARTISMON,f,2,5.2,0
CAFEMETHIOP,Café Ethiopie doux moulu 250g,12ARTISMON,f,2,5.5,0
CAFEMEXIQ,Café Mexique 250g,12ARTISMON,f,2,4.65,0
CAFEMEXIQUE,Boite café bio Mexique 250g,12ARTISMON,f,2,5.9,0
CAFEMMANOUBE,Café Doux arabica moulu 250g,12ARTISMON,f,2,4.1,0
CAFEMPEROU,Café Pérou moulu 250g,12ARTISMON,f,2,4.45,0
CAFEPEROU,Boite Café bio Pérou 250g,12ARTISMON,f,1,5.9,0
CALICETRICOLORE,Pâtes Calice tricolore au blé dur 250g,04PATES,f,1,2.3,2
CAMEMBERT,Camembert Normandie 250g,04FROMAGE,f,2,5.5,2
CAMOM,Camomille romaine plant,05AROM,f,2,2.3,0
CANCOIL,Cancoillotte 200g,04FROMAGE,f,2,3.8,2
CANNELLEMOULUE,Cannelle moulue 30g,12ARTISMON,f,2,3.4,0
CANNELLEPOUDRE,cannelle poudre 70 gr,04MOUT,f,1,2.5,0
CANNELLETUYARCADIE,Cannelle tuyaux Arcadie Vrac,04MOUT,t,3,47,0
CANTAL,Cantal entre deux /kg,04FROMAGE,t,3,19.6,2
CARBTTE,Carotte botte Jardins,02CARO,f,2,2.3,0
CARCADE,Carcadé Kenya 50g,12ARTISMON,f,2,3.3,0
CARDON,Cardon France,02EPIN,f,2,4.4,0
CARORAP,Carottes rapées,15TRANSLEG,t,3,10,0
CARORONDEL,Carotte rondelle,15TRANSLEG,t,3,10,0
CAROT1,Carotte sachet 1kg,02CARO,t,3,1,0
CAROT10KG,Carottes sac de 10 kg,02CARO,f,2,18,0
CAROT2,Carotte sachet,02CARO,t,3,1.5,0
CAROTNOUV,Carotte jardins kg,02CARO,t,3,2.5,0
CAROTPAN,Carottes en panier,02CARO,f,2,3.5,0
CAROTROU,Carotte Muliticolore Jardins,02CARO,t,3,2.7,0
CAROTT,Carotte,02CARO,t,3,2,0
CAROUBE,Caroube,03FS,t,3,4.7,2
CARPOURPRE,Carotte Pourpre Variété Ancienne,02CARO,t,3,3,0
CARRECARAMEL,Carrés caramel 100g,12ARTISMON,f,2,4.95,0
CARREVOS,Carré des Vosges 240g,04FROMAGE,f,2,5.45,2
CASSIS,Cassis Alsace 250g,03BAIES,f,2,4.55,2
CEDRAT,Cédrat Corse Kg,03CITRON,t,3,6.15,0
CELE,Céleri rave Jardins kg,02CELE,t,3,2.45,0
CELEBR,Céleri branche France,02CELE,t,3,3.9,0
CELERBR,Céleri branche Espagne,02CELE,t,3,2.7,0
CELERI,Céleri rave Bio Plant,05RACINE,f,2,1.5,0
CEPESVOSGES,Cépes des Vosges Non BIO,02CHAM,t,3,6,0
CERAVE,Céléri rave Branche Nouveau,02CELE,t,3,2.7,0
CERBAR,Cerise Burlat Barquette 250g,03CERI,f,2,1.95,0
CERF,Cerfeuil bouquet,02AROM,f,2,1.4,0
CERFEU,Cerfeuil Bio Plant,05AROM,f,2,2.3,0
CERISE,Cerise France  Kg,03CERI,t,3,10.6,2
CERISEEDELFINGEN,Cerises Edelfingen France,03CERI,t,3,9.7,0
CERNOIX,Cerneaux Noix France kg,03FS,t,3,27.8,2
CHAMPP,Champignons PC crème,02CHAM,t,3,8.7,0
CHARLO,Charlotte,02POMM,t,3,1.5,0
CHBL,Blanc bio plant,05CHOU,f,2,2.5,0
CHBLAN,Chou blanc,02CHOU,t,3,2.4,0
CHBLANC,Chou blanc Hollande,02CHOU,t,3,2,2
CHBR,Brocoli  bio plant,05CHOU,f,2,2.5,0
CHBROBRET,Chou brocolis,02CHOU,t,3,4.3,2
CHBRU,Bruxelles bio plant,05CHOU,f,2,2.5,0
CHBRUX,Chou Bruxelles,02CHOU,t,3,7.05,0
CHCHIN,Chou chinois,02CHOU,t,3,3.95,0
CHERI,Chérimoya,03CHERI,f,2,2.1,2
CHERIMOYA,Cherimoya,03CHERI,f,2,2.45,0
CHEVRE,Chèvre frais Bergenbach pièce,04CHEVRE,f,2,2.9,2
CHEVREBUCHE,Chèvre buche du Mont,04CHEVRE,f,2,4.7,2
CHEVREDEMISEC,Chèvre en pack du Mont,04CHEVRE,f,2,4.9,2
CHEVREFRAIAFF,Chèvre demi Sec,04CHEVRE,f,1,2.95,0
CHEVREFRAISAILOURS,Chèvre frais AIL OURS pièce,04CHEVRE,f,2,2.95,0
CHEVREFRAISHERBITA,Chèvre frais HERBES ITALIE pièce,04CHEVRE,f,1,2.95,0
CHEVREFRAISNAT,Chèvre frais NATURE pièce,04CHEVRE,f,2,2.65,0
CHEVREFRAISPIQU,Chèvre frais HERBES PIQUANTES pièce,04CHEVRE,f,2,2.95,0
CHEVREFRAISPOIVRE,Chèvre frais POIVRE pièce,04CHEVRE,f,2,2.95,0
CHEVRETOME,Tome de chèvre Bergenbach,04CHEVRE,t,3,29.9,2
CHFL,Fleur bio plant,05CHOU,f,2,2.5,0
CHFLBL,Chou fleur KG Jardins,02CHOU,t,3,5.1,0
CHFLER,Fleuron,02CHOU,f,1,6,0
CHFLEU,Chou fleur,02CHOU,f,2,2.9,0
CHFLVI,Chou fleur violet,02CHOU,t,3,4.2,0
CHFLVIO,Chou-Fleur Violet pièce,02CHOU,f,2,0.9,0
CHIOGG,Chioggia,02SALA,t,3,6,0
CHIPSLEG,Chips de légumes 75g,04CONFISER,f,2,2.95,2
CHISCA,Scarole,02SALA,t,3,5.5,0
CHKA,Kale Bio Plant,05CHOU,f,2,2.5,0
CHMI,Milan bio plant,05CHOU,f,2,2.5,0
CHMIL,Chou Milan Plant,05CHOU,f,2,0.4,0
CHMILA,Chou Milan jardins,02CHOU,t,3,3.5,0
CHOCFIN,Chocolats fins 200g,12ARTISMON,f,2,10.9,0
CHOCLAITPRAL,Choco lait noisettes 32% cacao,12ARTISMON,f,2,3.3,0
CHOCNOIMASCOBA,Choco noir sucre complet 58% 100g,12ARTISMON,f,2,2.4,0
CHOCNOIR85,Choco noir intense 85% 100g,12ARTISMON,f,2,3.1,0
CHOCNOIRAM,Chocolat noir amandes 58% 100g,12ARTISMON,f,2,2.7,0
CHOCNOIRFRAMB,Chocolat Noir 80% Framboise Myrtilles,12ARTISMON,f,2,3.3,0
CHOCNOIROR,Choco noir orange 58% 100g,12ARTISMON,f,2,2.3,0
CHOCNOIRPEP,Choco noir pepites 70% 100g,12ARTISMON,f,2,2.6,0
CHOCNOIRSEL,Choco noir fleur de sel 70%,12ARTISMON,f,2,3.1,0
CHOCO,Chocolat lait 32%,12ARTISMON,f,2,2.6,0
CHOCOCAF,Choco noir café 60% 100gr,12ARTISMON,f,2,3.1,0
CHOCODESSERT,Choco noir dessert Pat 58 %,12ARTISMON,f,2,3.9,0
CHOCOFLSEL,Chocolat fleur de sel 70%,12ARTISMON,f,2,3.1,0
CHOCOLAITINT,Choco lait intense 42%,12ARTISMON,f,2,3.1,0
CHOCOPRALINE100G,Choco Lait Praliné 33%  100 gr,12ARTISMON,f,2,3.3,0
CHOCPRALINCOCO,Chocolat praliné coco,12ARTISMON,f,2,4.95,0
CHOCVEGNOIS,Choco vegan noisettes 43%  100g,12ARTISMON,f,2,3.3,0
CHOPACHOI,Chou pack choi,02CHOU,t,3,5,0
CHOROM,Chou wok,02CHOU,t,3,8,0
CHOUBR,Brocolis jardins,02CHOU,t,3,3.7,0
CHOUBRAPE,Chou blanc rapé,15TRANSLEG,t,3,10,0
CHOUC1,Chou sachet 1,02CHOU,t,3,3,0
CHOUCHI,Chinois bio plant,05CHOU,f,2,2.5,0
CHOUCR,Choucroute,02CHOU,t,3,3.8,0
CHOUFRISE,Chou frisé,02CHOU,f,2,3.2,0
CHOUKAL,Chou Kale Jardins,02CHOU,t,3,4.9,0
CHOUNBIO,Chou à Choucroute,02CHOU,t,3,2,0
CHOUPOI,Pointu bio plant,05CHOU,f,1,2.5,0
CHOURA,Chou rave au Kg,02CHOU,t,3,3.5,0
CHOURAV,Rave violet F1 bio plant,05CHOU,f,2,2.5,0
CHOUROMANESCO,Chou romanesco,02CHOU,f,2,3.5,0
CHOUROUJARD,Chou Rouge Jardins,02CHOU,t,3,3.25,0
CHOURRAP,Chou rouge rapé,15TRANSLEG,t,3,10,0
CHOURUT,Choucroute de Rutabaga,02CHOU,t,3,3.95,0
CHPOIN,chou pointu,02CHOU,t,3,3.25,0
CHRA,Rave vert F1 bio plant,05CHOU,f,2,2.5,0
CHRAVE,Chou rave à la pièce,02CHOU,f,2,1.2,0
CHRISTOPHINE,Christophine Kg,02COUR,t,3,5.55,0
CHRO,Rouge bio plant,05CHOU,f,2,2.5,0
CHROUG,Chou rouge jardins,02CHOU,t,3,2.6,0
CHROUGE,Chou rouge,02CHOU,t,3,3.95,2
CIBO,Ciboulette Bio Plant,05AROM,f,2,2.3,0
CIBOUL,Ciboulette,02AROM,f,2,1.33,0
CIMA,Cima Di Rapa,02EPIN,t,3,6,0
CITDEM,Citron bergamote Italie,03CITRON,t,3,5.15,2
CITITAL,Citron Sicile Italie,03CITRON,t,3,3.55,2
CITRBE,Citron fino Espagne,03CITRON,t,3,4.9,2
CITRDECL,Citron lime Mexique,03CITRON,t,3,5.7,2
CITRESP,Citron Espagne,03CITRON,t,3,3.6,2
CITROESP,citron Espagne,03CITRON,t,3,3.45,2
CITRON,Citron Vert Colombie,03CITRON,t,3,7.95,2
CITRONDEC,Citron limette de Tahiti,03CITRON,t,3,6.1,2
CITRONNEL,Citronnelle Madagascar Bio Plant,05AROM,f,2,2.3,0
CITRSI,Citron  Espagne,03CITRON,t,3,3.6,2
CLAYTO,Claytone,02SALA,t,3,8,0
CLEAZA,Clémentine france,03CLEMEN,t,3,6.95,2
CLECAL,Clémentine Espagne,03CLEMEN,t,3,3.45,2
CLECOR,Clémentine Corse,03CLEMEN,t,3,6.95,2
CLEMPROMO,Clémentine Italie,03CLEMEN,t,3,3.75,2
COING,Coing Espagne,03,t,3,3.95,2
COMTE,Comté Marcel Petite,04FROMAGE,t,3,21,2
COMTECOMT,Comté kg,04FROMAGE,t,3,23.1,2
CONC,Concombre bio plant motte 8 cm,05PLANT,f,2,1.5,0
CONCHIGLIONI,Pâtes Conchiglioni 250g,04PATES,f,1,2.15,2
CONCOK,Concombre noa FR,02CONC,t,3,4.5,0
CONCOM,Concombre  Noa Jardins,02CONC,t,3,3.5,0
CONCOMSCOT,Concombre long  FR,02CONC,f,2,1.9,0
CONFITUREC,Confiture en pot 370g,12,f,1,5,0
CONSOUDE,Consoude officinale Bio Plant,05AROM,f,2,2.3,0
COOKIEEPEAUTRE300,Cookies Epeautre 300 gr,04PA,f,1,6.7,0
CORI,Coriandre Bio Plant,05AROM,f,2,2.3,0
CORIAND,Coriande bouquet,02AROM,f,1,1.4,0
CORIANDRADESCOT,Coriandrade 100g,04MOUT,f,1,4.3,0
CORIANDREGRARCADIE,Coriandre Graines Arcadie 50 gr,04MOUT,f,1,2,0
CORN,Cornichon bio plant motte 8 cm,05PLANT,f,2,1.5,0
CORNICH,Cornichon aigre doux 370ml,04EP,f,2,3.4,2
CORNICH670,Cornichon aigre doux 670 g,04EP,f,1,4.2,2
CORNICHONJARDINS,Cornichons Jardins,02CONC,t,3,6,0
COUR,Verte Longue Bio Plant,05COUR,f,2,1.5,0
COURG,Jaune Longue Bio Plant,05COUR,f,2,1.5,0
COURGDEC,Courge découpée en morceaux en sachet,15TRANSLEG,t,3,8,0
COURGE,Courges variées,02POTIR,t,3,2.8,0
COURGEMUSCADE,Courge Muscade France,02POTIR,t,3,2.9,0
COURGMINI,Courgette mini,02COUR,t,3,3,0
COURGR,Courgette ronde Jardins,02COUR,t,3,3.5,0
COURGRO,Courgettes Grosses,02COUR,t,3,0.8,0
COURGSCOT,Courgette,02COUR,t,3,4.15,0
COURGSPAGSCOT,Courge Spaghetti,02POTIR,f,2,2.75,0
COURGT,Courgette jardins,02COUR,t,3,2.5,0
COURON,Jaune Ronde Bio Plant,05COUR,f,2,1.5,0
COUSCOUS_BLANC,Couscous blanc 500g,04RIZ,f,1,2.6,2
COUSCOUS_DEMIC,Couscous 1/2 complet 500g,04RIZ,f,1,2.85,2
COUSCOUS500,Couscous  1/2 500 gr,04RIZ,f,1,2.8,2
COUSCOUSVRAC,Couscous Vrac,04CEREALE,t,3,4.85,2
CRAKYTOMATE,Crakys tomate 90g,04CONFISER,f,2,3.8,2
CRANBER,Cranberries bq 200g Canada,03BAIES,f,1,3.5,2
CREMANT,Crémant rose d'Alsace,04BOISSONS,f,1,9.95,2
CREMDUR,Crème  fraiche BioGam 20cl,04PL,f,2,2.55,2
CREME,Crème fraîche Isigny 20cl,04PL,f,2,2.35,2
CREMECRUE,Crème Crue 25 cl,04PL,f,2,2.8,2
CREMFLUI,Crème fluide 50cl,04PL,f,2,4.8,2
CRESSO,Cresson fontaine,02AROM,f,2,1.4,0
CROTTINSEC,Crottin de Chèvre Sec,04FROMAGE,f,2,2,2
CUMIN,Cumin des prés Bio Plant,05AROM,f,2,2.3,0
CUR30,Curcuma 30g,12ARTISMON,f,2,2.7,0
CURCU,Curcuma kg,02EPIC,t,3,7.9,2
CURCUMAARCADIE,Curcuma Arcadie 70 gr,04MOUT,f,1,3,0
CURRY,Curry fort 30g,12ARTISMON,f,2,2.4,0
CURRYARCADIE,Curry Arcadie 70 gr,04MOUT,f,1,3.1,0
DATMEDJOOL,Datte medjool kg,03FS,t,3,18,2
DATSACHTU,Dattes sachet Tunisie,03FS,f,1,2.95,2
DATSTA,Dattes fraiches Iran 250g,03FS,f,2,3.4,2
DATTES,Dattes branchées Tunisie,03FS,t,3,8.9,2
DELICEOURFENUGREC,Délice ourche FENUGREC kg,12ECOLONIE,t,3,20.8,0
DELICEOURHERB,Délice ourche HERBE ITALIE Kg,12ECOLONIE,t,3,20.8,0
DELICEOURHERBPROVE,Délice ourche HERBE PROVENCE kg,12ECOLONIE,t,3,20.8,0
DELICEOURNAT,Délice ourche NATURE kg,12ECOLONIE,t,3,23,0
DELICEOURORTIE,Délice ourche ORTIE Kg,12ECOLONIE,t,3,20.8,0
DESIRE,Désirée,02POMM,t,3,1.5,0
DOUCHOCCAFE,Douceur choco café 100g,12ARTISMON,f,2,3.6,0
