id,lastname,firstname,dob,dod,nationalities,artistname
55bd4fb9-cd1d-4d45-af3c-943176232597,Scott,Ronald Belford,1946-07-09,1980-02-19,{gb},Bon Scott
01860a04-429d-4c34-864e-52e9f177954e,Johnson,Brian,1947-10-05,,{gb},
e88699e9-3a03-42a7-9525-58e8eec43004,Young,Malcolm,1953-01-06,2017-11-18,"{au,gb}",
5a8b4d99-7f13-49a4-9a3a-fc76122b4e2b,Young,Angus,1955-03-31,,"{au,gb}",
872f177e-a0be-44af-a3c0-ad9515859f19,Fleetwood,Mick,1947-06-24,,{us},
998559eb-49cc-4954-ba70-44fe2763d303,Campbell,Mike,1950-02-01,,{us},
404af64c-70cd-4a44-9809-ce0cfcaf94a6,Nicks,Stephanie Lynn,1948-05-26,,{us},Stevie Nicks
7e27d33c-355f-4a6c-8be7-47bd0717d36a,Wilson,Ann,1950-06-19,,{us},
a6514052-6a19-4a67-92da-81de00457d9f,Wilson,Nancy,1954-03-16,,{us},
a2d9c110-7955-4842-82cb-0f577cb9dc48,McCartney,Paul,1942-06-18,,{gb},
e3c056d2-b30b-46ac-9e25-0a99b55eb4e9,Jackson,Michael,1958-08-29,2009-06-25,{us},
40eb4b8a-7f15-4545-bbd1-b0e08a16fefc,Séchan,Renaud,1952-05-11,,{fr},Renaud
2caf1462-9be7-4603-8090-3c511e846fa5,Balavoine,Daniel,1952-02-05,1986-01-14,{fr},
385966f0-b912-4755-bad6-4780ebf3f4cd,Gall,Isabelle,1947-10-09,2018-01-07,{fr},
1598ccda-b164-4bff-9821-f9ff5a8587a8,Gigliotti,Yolanda Cristina,1933-01-17,1987-05-03,"{it,fr}",Dalida
